Name,Age,Date,Team,At,Opp,Result,Game Number,Week,Day,Passing Cmp,Passing Att,Passing Completion Percentage,Passing Yards,Passing TD,Passing Int,Passing Sack,Fantasy Points,Rushing Att,Rushing Yards,Rushing TD,Recv Rec,Recv Yards,Recv TD,Fumb,Extra Points,Extra Points Att
Amari Cooper,23.123,2017-10-19,OAK,,KAN,W 31-30,7,7,Thu,0,0,0,0,0,0,0,44.0,0,0,0,11,210,2,0,0,0
Ezekiel Elliott,22.092,2017-10-22,DAL,@,SFO,W 40-10,6,7,Sun,0,0,0,0,0,0,0,40.9,26,147,2,1,72,1,0,0,0
Carson Wentz,24.297,2017-10-23,PHI,,WAS,W 34-24,7,7,Mon,17,25,68.00,268,4,1,3,31.0,8,63,0,0,0,0,2,0,0
Derek Carr,26.205,2017-10-19,OAK,,KAN,W 31-30,7,7,Thu,29,52,55.77,417,3,0,0,30.2,1,15,0,0,0,0,0,0,0
Dak Prescott,24.085,2017-10-22,DAL,@,SFO,W 40-10,6,7,Sun,16,25,64.00,234,3,0,0,30.0,4,26,1,0,0,0,0,0,0
O.J. Howard,22.337,2017-10-22,TAM,@,BUF,L 27-30,6,7,Sun,0,0,0,0,0,0,0,27.8,0,0,0,6,98,2,1,0,0
LeSean McCoy,29.102,2017-10-22,BUF,,TAM,W 30-27,6,7,Sun,0,0,0,0,0,0,0,27.2,23,91,2,5,31,0,1,0,0
Kenny Stills,25.183,2017-10-22,MIA,,NYJ,W 31-28,6,7,Sun,0,0,0,0,0,0,0,26.5,0,0,0,6,85,2,0,0,0
Jordan Reed,27.112,2017-10-23,WAS,@,PHI,L 24-34,6,7,Mon,0,0,0,0,0,0,0,26.4,0,0,0,8,64,2,0,0,0
Russell Wilson,28.327,2017-10-22,SEA,@,NYG,W 24-7,6,7,Sun,27,39,69.23,334,3,0,1,26.4,2,10,0,0,0,0,0,0,0
Alex Smith,33.165,2017-10-19,KAN,@,OAK,L 30-31,7,7,Thu,25,36,69.44,342,3,0,1,25.7,1,0,0,0,0,0,1,0,0
Todd Gurley,23.080,2017-10-22,LAR,,ARI,W 33-0,7,7,Sun,0,0,0,0,0,0,0,25.4,22,106,1,4,48,0,0,0,0
Tyreek Hill,23.232,2017-10-19,KAN,@,OAK,L 30-31,7,7,Thu,0,0,0,0,0,0,0,25.2,2,7,0,6,125,1,0,0,0
Julio Jones,28.261,2017-10-22,ATL,@,NWE,L 7-23,6,7,Sun,0,0,0,0,0,0,0,24.9,0,0,0,9,99,1,0,0,0
Josh McCown,38.110,2017-10-22,NYJ,@,MIA,L 28-31,7,7,Sun,17,27,62.96,209,3,1,3,24.5,3,1,1,0,0,0,0,0,0
Doug Baldwin,29.031,2017-10-22,SEA,@,NYG,W 24-7,6,7,Sun,0,0,0,0,0,0,0,24.2,0,0,0,9,92,1,0,0,0
Kirk Cousins,29.065,2017-10-23,WAS,@,PHI,L 24-34,6,7,Mon,30,40,75.00,303,3,1,4,23.9,3,18,0,0,0,0,0,0,0
Jameis Winston,23.289,2017-10-22,TAM,@,BUF,L 27-30,6,7,Sun,32,44,72.73,384,3,1,1,23.4,1,0,0,0,0,0,2,0,0
Aaron Jones,22.324,2017-10-22,GNB,,NOR,L 17-26,7,7,Sun,0,0,0,0,0,0,0,22.8,17,131,1,3,7,0,0,0,0
Jarvis Landry,24.328,2017-10-22,MIA,,NYJ,W 31-28,6,7,Sun,0,0,0,0,0,0,0,22.3,0,0,0,7,93,1,0,0,0
Le'Veon Bell,25.246,2017-10-22,PIT,,CIN,W 29-14,7,7,Sun,0,0,0,0,0,0,0,22.2,35,134,0,3,58,0,0,0,0
Kai Forbath,30.050,2017-10-22,MIN,,BAL,W 24-16,7,7,Sun,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,1
Mike Evans,24.062,2017-10-22,TAM,@,BUF,L 27-30,6,7,Sun,0,0,0,0,0,0,0,21.8,0,0,0,7,88,1,1,0,0
T.J. Yeldon,24.020,2017-10-22,JAX,@,IND,W 27-0,7,7,Sun,0,0,0,0,0,0,0,21.7,9,122,1,2,15,0,0,0,0
Ted Ginn,32.193,2017-10-22,NOR,@,GNB,W 26-17,6,7,Sun,0,0,0,0,0,0,0,21.1,0,0,0,7,141,0,1,0,0
Mark Ingram,27.305,2017-10-22,NOR,@,GNB,W 26-17,6,7,Sun,0,0,0,0,0,0,0,21.0,22,105,1,4,5,0,0,0,0
Tyrod Taylor,28.080,2017-10-22,BUF,,TAM,W 30-27,6,7,Sun,20,33,60.61,268,1,0,1,20.0,6,53,0,0,0,0,0,0,0
Zach Ertz,26.347,2017-10-23,PHI,,WAS,W 34-24,7,7,Mon,0,0,0,0,0,0,0,19.9,0,0,0,5,89,1,0,0,0
Dez Bryant,28.352,2017-10-22,DAL,@,SFO,W 40-10,6,7,Sun,0,0,0,0,0,0,0,19.3,0,0,0,7,63,1,0,0,0
Drew Brees,38.280,2017-10-22,NOR,@,GNB,W 26-17,6,7,Sun,27,38,71.05,331,1,2,1,19.1,5,-1,1,0,0,0,0,0,0
Jared Goff,23.008,2017-10-22,LAR,,ARI,W 33-0,7,7,Sun,22,37,59.46,235,1,1,1,18.7,2,13,1,0,0,0,0,0,0
