Name,Age,Date,Team,At,Opp,Result,Game Number,Week,Day,Passing Cmp,Passing Att,Passing Completion Percentage,Passing Yards,Passing TD,Passing Int,Passing Sack,Fantasy Points,Rushing Att,Rushing Yards,Rushing TD,Recv Rec,Recv Yards,Recv TD,Fumb,Extra Points,Extra Points Att
Kelvin Benjamin,26.238,2017-10-01,CAR,@,NWE,W 33-30,4,4,Sun,0,0,0,0,0,0,0,14.4,0,0,0,4,104,0,0,0,0
Randall Cobb,27.037,2017-09-28,GNB,,CHI,W 35-14,4,4,Thu,0,0,0,0,0,0,0,14.4,0,0,0,4,44,1,0,0,0
Jordan Howard,22.330,2017-09-28,CHI,@,GNB,L 14-35,4,4,Thu,0,0,0,0,0,0,0,14.3,18,53,1,2,10,0,0,0,0
O.J. Howard,22.316,2017-10-01,TAM,,NYG,W 25-23,3,4,Sun,0,0,0,0,0,0,0,14.3,0,0,0,2,63,1,0,0,0
Phil Dawson,42.251,2017-10-01,ARI,,SFO,W 18-15,4,4,Sun,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0
Stephen Gostkowski,33.246,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,3,3
Austin Ekeler,22.137,2017-10-01,LAC,,PHI,L 24-26,4,4,Sun,0,0,0,0,0,0,0,13.8,1,35,1,2,23,0,0,0,0
LeSean McCoy,29.081,2017-10-01,BUF,@,ATL,W 23-17,4,4,Sun,0,0,0,0,0,0,0,13.8,20,76,0,3,32,0,0,0,0
JuJu Smith-Schuster,20.313,2017-10-01,PIT,@,BAL,W 26-9,4,4,Sun,0,0,0,0,0,0,0,13.7,0,0,0,3,47,1,0,0,0
Johnny Holton,26.040,2017-10-01,OAK,@,DEN,L 10-16,4,4,Sun,0,0,0,0,0,0,0,13.4,0,0,0,1,64,1,0,0,0
Larry Fitzgerald,34.031,2017-10-01,ARI,,SFO,W 18-15,4,4,Sun,0,0,0,0,0,0,0,13.2,0,0,0,4,32,1,0,0,0
Zach Ertz,26.325,2017-10-01,PHI,@,LAC,W 26-24,4,4,Sun,0,0,0,0,0,0,0,13.1,0,0,0,5,81,0,0,0,0
Tyler Lockett,25.003,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,13.1,2,24,0,4,67,0,0,0,0
Wayne Gallman,23.000,2017-10-01,NYG,@,TAM,L 23-25,4,4,Sun,0,0,0,0,0,0,0,13.0,11,42,0,2,8,1,1,0,0
Adam Humphries,24.250,2017-10-01,TAM,,NYG,W 25-23,3,4,Sun,0,0,0,0,0,0,0,13.0,0,0,0,6,70,0,0,0,0
DeVante Parker,24.254,2017-10-01,MIA,,NOR,L 0-20,3,4,Sun,0,0,0,0,0,0,0,12.9,0,0,0,6,69,0,0,0,0
Jacquizz Rodgers,27.237,2017-10-01,TAM,,NYG,W 25-23,3,4,Sun,0,0,0,0,0,0,0,12.8,16,83,0,2,25,0,0,0,0
Tyrod Taylor,28.059,2017-10-01,BUF,@,ATL,W 23-17,4,4,Sun,12,20,60.00,182,1,0,3,12.5,7,12,0,0,0,0,0,0,0
Dalvin Cook,22.052,2017-10-01,MIN,,DET,L 7-14,4,4,Sun,0,0,0,0,0,0,0,12.4,13,66,1,1,8,0,1,0,0
Fozzy Whittaker,28.241,2017-10-01,CAR,@,NWE,W 33-30,4,4,Sun,0,0,0,0,0,0,0,12.4,0,0,0,3,34,1,0,0,0
Evan Engram,23.029,2017-10-01,NYG,@,TAM,L 23-25,4,4,Sun,0,0,0,0,0,0,0,12.2,0,0,0,6,62,0,0,0,0
Rob Gronkowski,28.140,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,0,0,0,0,0,0,0,12.0,0,0,0,4,80,0,0,0,0
Donte Moncrief,24.056,2017-10-01,IND,@,SEA,L 18-46,4,4,Sun,0,0,0,0,0,0,0,12.0,0,0,0,3,30,1,0,0,0
Alshon Jeffery,27.229,2017-10-01,PHI,@,LAC,W 26-24,4,4,Sun,0,0,0,0,0,0,0,11.9,0,0,0,3,29,1,0,0,0
Blake Bortles,25.156,2017-10-01,JAX,@,NYJ,L 20-23,4,4,Sun,15,35,42.86,140,1,1,1,11.4,4,38,0,0,0,0,0,0,0
Ricardo Louis,23.192,2017-10-01,CLE,,CIN,L 7-31,4,4,Sun,0,0,0,0,0,0,0,11.4,0,0,0,5,64,0,0,0,0
Trevor Siemian,25.279,2017-10-01,DEN,,OAK,W 16-10,4,4,Sun,16,26,61.54,179,1,0,4,11.3,4,1,0,0,0,0,0,0,0
Harrison Butker,22.080,2017-10-02,KAN,,WAS,W 29-20,4,4,Mon,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,2,2
Chandler Catanzaro,26.217,2017-10-01,NYJ,,JAX,W 23-20,4,4,Sun,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,2,2
Frank Gore,34.140,2017-10-01,IND,@,SEA,L 18-46,4,4,Sun,0,0,0,0,0,0,0,11.0,12,46,0,3,34,0,0,0,0
Vernon Davis,33.244,2017-10-02,WAS,@,KAN,L 20-29,4,4,Mon,0,0,0,0,0,0,0,10.9,0,0,0,2,89,0,0,0,0
Aaron Jones,22.300,2017-09-28,GNB,,CHI,W 35-14,4,4,Thu,0,0,0,0,0,0,0,10.9,13,49,1,0,0,0,0,0,0
Albert Wilson,25.082,2017-10-02,KAN,,WAS,W 29-20,4,4,Mon,0,0,0,0,0,0,0,10.9,1,6,0,4,63,0,0,0,0
Brandon Marshall,33.192,2017-10-01,NYG,@,TAM,L 23-25,4,4,Sun,0,0,0,0,0,0,0,10.6,0,0,0,6,46,0,0,0,0
Ben Roethlisberger,35.213,2017-10-01,PIT,@,BAL,W 26-9,4,4,Sun,18,30,60.00,216,1,1,1,10.5,1,-1,0,0,0,0,0,0,0
Javorius Allen,26.035,2017-10-01,BAL,,PIT,L 9-26,4,4,Sun,0,0,0,0,0,0,0,10.4,2,7,0,6,37,0,0,0,0
Sterling Shepard,24.233,2017-10-01,NYG,@,TAM,L 23-25,4,4,Sun,0,0,0,0,0,0,0,10.4,0,0,0,5,54,0,0,0,0
Mark Ingram,27.284,2017-10-01,NOR,@,MIA,W 20-0,4,4,Sun,0,0,0,0,0,0,0,10.2,14,45,0,4,17,0,0,0,0
Jimmy Graham,30.311,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,10.1,0,0,0,4,61,0,0,0,0
Matthew Stafford,29.236,2017-10-01,DET,@,MIN,W 14-7,4,4,Sun,19,31,61.29,209,0,0,6,10.1,3,-3,0,0,0,0,1,0,0
Austin Hooper,22.331,2017-10-01,ATL,,BUF,L 17-23,4,4,Sun,0,0,0,0,0,0,0,10.0,0,0,0,5,50,0,0,0,0
Jarvis Landry,24.307,2017-10-01,MIA,,NOR,L 0-20,3,4,Sun,0,0,0,0,0,0,0,10.0,0,0,0,6,40,0,0,0,0
Brandon McManus,26.068,2017-10-01,DEN,,OAK,W 16-10,4,4,Sun,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,1,1
Martellus Bennett,30.202,2017-09-28,GNB,,CHI,W 35-14,4,4,Thu,0,0,0,0,0,0,0,9.9,0,0,0,6,39,0,0,0,0
James Hanna,28.079,2017-10-01,DAL,,LAR,L 30-35,4,4,Sun,0,0,0,0,0,0,0,9.8,0,0,0,1,28,1,0,0,0
Derek Carr,26.187,2017-10-01,OAK,@,DEN,L 10-16,4,4,Sun,10,18,55.56,143,1,0,2,9.7,0,0,0,0,0,0,0,0,0
Dion Lewis,27.004,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,0,0,0,0,0,0,0,9.7,4,18,1,1,9,0,0,0,0
Trent Taylor,23.154,2017-10-01,SFO,@,ARI,L 15-18,4,4,Sun,0,0,0,0,0,0,0,9.7,0,0,0,5,47,0,0,0,0
Jacoby Brissett,23.294,2017-10-01,IND,@,SEA,L 18-46,4,4,Sun,16,29,55.17,157,1,1,3,9.6,3,33,0,0,0,0,2,0,0
Chris Carson,23.015,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,9.6,12,42,0,3,24,0,0,0,0
Ryan Grant,26.287,2017-10-02,WAS,@,KAN,L 20-29,4,4,Mon,0,0,0,0,0,0,0,9.6,0,0,0,2,16,1,0,0,0
Hunter Henry,22.298,2017-10-01,LAC,,PHI,L 24-26,4,4,Sun,0,0,0,0,0,0,0,9.6,0,0,0,2,16,1,0,0,0
Cordarrelle Patterson,26.198,2017-10-01,OAK,@,DEN,L 10-16,4,4,Sun,0,0,0,0,0,0,0,9.5,1,2,0,6,33,0,0,0,0
Paul Richardson,25.171,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,9.5,0,0,0,3,65,0,0,0,0
Joe Flacco,32.258,2017-10-01,BAL,,PIT,L 9-26,4,4,Sun,31,49,63.27,235,1,2,4,9.4,0,0,0,0,0,0,1,0,0
Deonte Thompson,28.226,2017-09-28,CHI,@,GNB,L 14-35,4,4,Thu,0,0,0,0,0,0,0,9.4,0,0,0,5,44,0,0,0,0
Davante Adams,24.278,2017-09-28,GNB,,CHI,W 35-14,4,4,Thu,0,0,0,0,0,0,0,9.3,0,0,0,2,13,1,0,0,0
Chris Johnson,32.008,2017-10-01,ARI,,SFO,W 18-15,4,4,Sun,0,0,0,0,0,0,0,9.3,13,32,0,3,31,0,0,0,0
Ben Watson,36.287,2017-10-01,BAL,,PIT,L 9-26,4,4,Sun,0,0,0,0,0,0,0,9.3,0,0,0,5,43,0,0,0,0
Brice Butler,27.245,2017-10-01,DAL,,LAR,L 30-35,4,4,Sun,0,0,0,0,0,0,0,9.2,0,0,0,2,12,1,0,0,0
Ed Dickson,30.068,2017-10-01,CAR,@,NWE,W 33-30,4,4,Sun,0,0,0,0,0,0,0,9.2,0,0,0,3,62,0,0,0,0
Justin Hardy,25.287,2017-10-01,ATL,,BUF,L 17-23,4,4,Sun,0,0,0,0,0,0,0,9.2,0,0,0,2,12,1,0,0,0
Rhett Ellison,28.363,2017-10-01,NYG,@,TAM,L 23-25,4,4,Sun,0,0,0,0,0,0,0,9.1,0,0,0,2,11,1,0,0,0
Graham Gano,30.175,2017-10-01,CAR,@,NWE,W 33-30,4,4,Sun,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,3,4
Jordan Matthews,25.077,2017-10-01,BUF,@,ATL,W 23-17,4,4,Sun,0,0,0,0,0,0,0,9.0,0,0,0,2,10,1,0,0,0
Robby Anderson,24.145,2017-10-01,NYJ,,JAX,W 23-20,4,4,Sun,0,0,0,0,0,0,0,8.9,0,0,0,3,59,0,0,0,0
Christian McCaffrey,21.116,2017-10-01,CAR,@,NWE,W 33-30,4,4,Sun,0,0,0,0,0,0,0,8.9,6,16,0,4,33,0,0,0,0
Seth Roberts,26.221,2017-10-01,OAK,@,DEN,L 10-16,4,4,Sun,0,0,0,0,0,0,0,8.9,0,0,0,4,49,0,0,0,0
Adam Thielen,27.040,2017-10-01,MIN,,DET,L 7-14,4,4,Sun,0,0,0,0,0,0,0,8.9,0,0,0,5,59,0,1,0,0
Nelson Agholor,24.130,2017-10-01,PHI,@,LAC,W 26-24,4,4,Sun,0,0,0,0,0,0,0,8.8,0,0,0,3,58,0,0,0,0
Tarik Cohen,22.064,2017-09-28,CHI,@,GNB,L 14-35,4,4,Thu,0,0,0,0,0,0,0,8.8,6,24,0,4,24,0,0,0,0
Case Keenum,29.226,2017-10-01,MIN,,DET,L 7-14,4,4,Sun,16,30,53.33,219,0,0,2,8.8,0,0,0,0,0,0,0,0,0
Joe Mixon,21.069,2017-10-01,CIN,@,CLE,W 31-7,4,4,Sun,0,0,0,0,0,0,0,8.8,17,29,0,4,19,0,0,0,0
Bruce Ellington,26.040,2017-10-01,HOU,,TEN,W 57-14,4,4,Sun,0,0,0,0,0,0,0,8.7,1,13,0,3,44,0,0,0,0
Jeremy Kerley,28.327,2017-10-01,NYJ,,JAX,W 23-20,4,4,Sun,0,0,0,0,0,0,0,8.7,0,0,0,5,37,0,0,0,0
Nick Boyle,24.226,2017-10-01,BAL,,PIT,L 9-26,4,4,Sun,0,0,0,0,0,0,0,8.6,0,0,0,5,36,0,0,0,0
Austin Seferian-Jenkins,25.002,2017-10-01,NYJ,,JAX,W 23-20,4,4,Sun,0,0,0,0,0,0,0,8.6,0,0,0,4,46,0,0,0,0
Doug Baldwin,29.010,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,8.5,0,0,0,3,35,0,0,0,0
Tyreek Hill,23.215,2017-10-02,KAN,,WAS,W 29-20,4,4,Mon,0,0,0,0,0,0,0,8.5,0,0,0,5,35,0,1,0,0
Matt Ryan,32.137,2017-10-01,ATL,,BUF,L 17-23,4,4,Sun,24,42,57.14,242,1,2,1,8.5,1,8,0,0,0,0,1,0,0
Charcandrick West,26.122,2017-10-02,KAN,,WAS,W 29-20,4,4,Mon,0,0,0,0,0,0,0,8.5,1,2,0,5,33,0,0,0,0
T.J. Jones,25.074,2017-10-01,DET,@,MIN,W 14-7,4,4,Sun,0,0,0,0,0,0,0,8.3,0,0,0,3,33,0,0,0,0
Kenny Britt,29.012,2017-10-01,CLE,,CIN,L 7-31,4,4,Sun,0,0,0,0,0,0,0,8.2,0,0,0,3,52,0,0,0,0
Allen Hurns,25.323,2017-10-01,JAX,@,NYJ,L 20-23,4,4,Sun,0,0,0,0,0,0,0,8.2,0,0,0,4,42,0,0,0,0
Aldrick Robinson,29.007,2017-10-01,SFO,@,ARI,L 15-18,4,4,Sun,0,0,0,0,0,0,0,8.2,0,0,0,3,52,0,0,0,0
Delanie Walker,33.050,2017-10-01,TEN,@,HOU,L 14-57,4,4,Sun,0,0,0,0,0,0,0,8.1,0,0,0,3,51,0,0,0,0
Chris Boswell,26.199,2017-10-01,PIT,@,BAL,W 26-9,4,4,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Darren Fells,31.162,2017-10-01,DET,@,MIN,W 14-7,4,4,Sun,0,0,0,0,0,0,0,8.0,0,0,0,4,40,0,0,0,0
Dustin Hopkins,27.001,2017-10-02,WAS,@,KAN,L 20-29,4,4,Mon,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Wil Lutz,23.086,2017-10-01,NOR,@,MIA,W 20-0,4,4,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Jason Myers,26.142,2017-10-01,JAX,@,NYJ,L 20-23,4,4,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Blair Walsh,27.266,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,5,5
Rishard Matthews,27.354,2017-10-01,TEN,@,HOU,L 14-57,4,4,Sun,0,0,0,0,0,0,0,7.9,0,0,0,3,49,0,0,0,0
Martavis Bryant,25.285,2017-10-01,PIT,@,BAL,W 26-9,4,4,Sun,0,0,0,0,0,0,0,7.8,0,0,0,3,48,0,0,0,0
John Brown,27.181,2017-10-01,ARI,,SFO,W 18-15,4,4,Sun,0,0,0,0,0,0,0,7.7,0,0,0,3,47,0,0,0,0
Jack Doyle,27.149,2017-10-01,IND,@,SEA,L 18-46,4,4,Sun,0,0,0,0,0,0,0,7.7,0,0,0,5,27,0,0,0,0
Tyler Higbee,24.273,2017-10-01,LAR,@,DAL,W 35-30,4,4,Sun,0,0,0,0,0,0,0,7.7,0,0,0,3,47,0,0,0,0
Brian Hoyer,31.353,2017-10-01,SFO,@,ARI,L 15-18,4,4,Sun,24,49,48.98,234,0,1,3,7.7,1,3,0,0,0,0,0,0,0
Jared Cook,30.177,2017-10-01,OAK,@,DEN,L 10-16,4,4,Sun,0,0,0,0,0,0,0,7.6,0,0,0,3,46,0,0,0,0
Pierre Garcon,31.054,2017-10-01,SFO,@,ARI,L 15-18,4,4,Sun,0,0,0,0,0,0,0,7.6,0,0,0,4,36,0,0,0,0
Alfred Morris,28.293,2017-10-01,DAL,,LAR,L 30-35,4,4,Sun,0,0,0,0,0,0,0,7.6,2,76,0,0,0,0,0,0,0
Luke Willson,27.259,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,7.6,0,0,0,1,6,1,0,0,0
Antonio Brown,29.083,2017-10-01,PIT,@,BAL,W 26-9,4,4,Sun,0,0,0,0,0,0,0,7.4,0,0,0,4,34,0,0,0,0
Terrance Williams,28.013,2017-10-01,DAL,,LAR,L 30-35,4,4,Sun,0,0,0,0,0,0,0,7.4,0,0,0,4,34,0,0,0,0
Brandin Cooks,24.006,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,0,0,0,0,0,0,0,7.2,1,4,0,3,38,0,0,0,0
