Name,Age,Date,Team,At,Opp,Result,Game Number,Week,Day,Passing Cmp,Passing Att,Passing Completion Percentage,Passing Yards,Passing TD,Passing Int,Passing Sack,Fantasy Points,Rushing Att,Rushing Yards,Rushing TD,Recv Rec,Recv Yards,Recv TD,Fumb,Extra Points,Extra Points Att
Le'Veon Bell,25.225,2017-10-01,PIT,@,BAL,W 26-9,4,4,Sun,0,0,0,0,0,0,0,34.6,35,144,2,4,42,0,1,0,0
Todd Gurley,23.059,2017-10-01,LAR,@,DAL,W 35-30,4,4,Sun,0,0,0,0,0,0,0,34.5,23,121,0,7,94,1,0,0,0
Deshaun Watson,22.017,2017-10-01,HOU,,TEN,W 57-14,4,4,Sun,25,34,73.53,283,4,1,1,33.7,4,24,1,0,0,0,0,0,0
Cam Newton,28.143,2017-10-01,CAR,@,NWE,W 33-30,4,4,Sun,22,29,75.86,316,3,1,2,33.0,8,44,1,0,0,0,0,0,0
Ezekiel Elliott,22.071,2017-10-01,DAL,,LAR,L 30-35,4,4,Sun,0,0,0,0,0,0,0,29.9,21,85,1,4,54,1,0,0,0
Lamar Miller,26.159,2017-10-01,HOU,,TEN,W 57-14,4,4,Sun,0,0,0,0,0,0,0,29.1,19,75,1,4,56,1,0,0,0
Bilal Powell,28.339,2017-10-01,NYJ,,JAX,W 23-20,4,4,Sun,0,0,0,0,0,0,0,29.0,21,163,1,4,27,0,0,0,0
Andy Dalton,29.337,2017-10-01,CIN,@,CLE,W 31-7,4,4,Sun,25,30,83.33,286,4,0,3,28.3,4,29,0,0,0,0,1,0,0
Eli Manning,36.271,2017-10-01,NYG,@,TAM,L 23-25,4,4,Sun,30,49,61.22,288,2,0,0,27.7,3,22,1,0,0,0,0,0,0
Russell Wilson,28.306,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,21,26,80.77,295,2,2,3,27.6,4,38,1,0,0,0,0,0,0
Alex Smith,33.148,2017-10-02,KAN,,WAS,W 29-20,4,4,Mon,27,37,72.97,293,1,0,4,27.3,7,56,1,0,0,0,0,0,0
DeAndre Hopkins,25.117,2017-10-01,HOU,,TEN,W 57-14,4,4,Sun,0,0,0,0,0,0,0,26.7,0,0,0,10,107,1,0,0,0
Jameis Winston,23.268,2017-10-01,TAM,,NYG,W 25-23,3,4,Sun,22,38,57.89,332,3,0,1,26.5,4,12,0,0,0,0,1,0,0
Devin Funchess,23.133,2017-10-01,CAR,@,NWE,W 33-30,4,4,Sun,0,0,0,0,0,0,0,26.0,0,0,0,7,70,2,0,0,0
Alvin Kamara,22.068,2017-10-01,NOR,@,MIA,W 20-0,4,4,Sun,0,0,0,0,0,0,0,25.6,5,25,0,10,71,1,0,0,0
Tyler Kroft,24.351,2017-10-01,CIN,@,CLE,W 31-7,4,4,Sun,0,0,0,0,0,0,0,24.8,0,0,0,6,68,2,0,0,0
Leonard Fournette,22.256,2017-10-01,JAX,@,NYJ,L 20-23,4,4,Sun,0,0,0,0,0,0,0,24.5,24,86,0,4,59,1,0,0,0
Travis Kelce,27.362,2017-10-02,KAN,,WAS,W 29-20,4,4,Mon,0,0,0,0,0,0,0,24.4,1,3,0,7,111,1,0,0,0
Jordy Nelson,32.120,2017-09-28,GNB,,CHI,W 35-14,4,4,Thu,0,0,0,0,0,0,0,23.5,0,0,0,4,75,2,0,0,0
Aaron Rodgers,33.300,2017-09-28,GNB,,CHI,W 35-14,4,4,Thu,18,26,69.23,179,4,0,2,23.1,1,-1,0,0,0,0,0,0,0
Greg Zuerlein,29.278,2017-10-01,LAR,@,DAL,W 35-30,4,4,Sun,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,2,2
Michael Thomas,24.212,2017-10-01,NOR,@,MIA,W 20-0,4,4,Sun,0,0,0,0,0,0,0,22.9,0,0,0,8,89,1,0,0,0
Dak Prescott,24.064,2017-10-01,DAL,,LAR,L 30-35,4,4,Sun,20,36,55.56,252,3,1,2,22.6,3,25,0,0,0,0,0,0,0
Tyrell Williams,25.231,2017-10-01,LAC,,PHI,L 24-26,4,4,Sun,0,0,0,0,0,0,0,22.5,0,0,0,5,115,1,0,0,0
Elijah McGuire,23.122,2017-10-01,NYJ,,JAX,W 23-20,4,4,Sun,0,0,0,0,0,0,0,21.1,10,93,1,2,38,0,0,0,0
Duke Johnson,23.312,2017-10-01,CLE,,CIN,L 7-31,4,4,Sun,0,0,0,0,0,0,0,21.0,4,13,1,9,47,0,0,0,0
Kirk Cousins,29.044,2017-10-02,WAS,@,KAN,L 20-29,4,4,Mon,14,24,58.33,220,2,0,0,20.6,7,38,0,0,0,0,1,0,0
Tom Brady,40.059,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,32,45,71.11,307,2,0,3,20.5,1,2,0,0,0,0,0,0,0
Ameer Abdullah,24.110,2017-10-01,DET,@,MIN,W 14-7,4,4,Sun,0,0,0,0,0,0,0,19.9,20,94,1,3,15,0,0,0,0
Will Fuller,23.168,2017-10-01,HOU,,TEN,W 57-14,4,4,Sun,0,0,0,0,0,0,0,19.9,1,4,0,4,35,2,0,0,0
Philip Rivers,35.297,2017-10-01,LAC,,PHI,L 24-26,4,4,Sun,22,38,57.89,347,2,0,2,19.9,0,0,0,0,0,0,1,0,0
J.D. McKissic,24.047,2017-10-01,SEA,,IND,W 46-18,4,4,Sun,0,0,0,0,0,0,0,19.5,4,38,1,1,27,1,0,0,0
Andre Ellington,28.240,2017-10-01,ARI,,SFO,W 18-15,4,4,Sun,0,0,0,0,0,0,0,19.4,5,18,0,9,86,0,0,0,0
Drew Brees,38.259,2017-10-01,NOR,@,MIA,W 20-0,4,4,Sun,29,41,70.73,268,2,0,1,19.0,4,3,0,0,0,0,1,0,0
Keenan Allen,25.157,2017-10-01,LAC,,PHI,L 24-26,4,4,Sun,0,0,0,0,0,0,0,18.8,0,0,0,5,138,0,0,0,0
Jaron Brown,27.266,2017-10-01,ARI,,SFO,W 18-15,4,4,Sun,0,0,0,0,0,0,0,18.5,0,0,0,8,105,0,0,0,0
Tevin Coleman,24.168,2017-10-01,ATL,,BUF,L 17-23,4,4,Sun,0,0,0,0,0,0,0,18.2,9,77,0,4,65,0,1,0,0
Jared Goff,22.352,2017-10-01,LAR,@,DAL,W 35-30,4,4,Sun,21,36,58.33,255,2,0,1,18.1,1,-1,0,0,0,0,1,0,0
Cameron Brate,26.090,2017-10-01,TAM,,NYG,W 25-23,3,4,Sun,0,0,0,0,0,0,0,18.0,0,0,0,4,80,1,0,0,0
Wendell Smallwood,23.245,2017-10-01,PHI,@,LAC,W 26-24,4,4,Sun,0,0,0,0,0,0,0,17.9,10,34,1,4,45,0,0,0,0
Mike Evans,24.041,2017-10-01,TAM,,NYG,W 25-23,3,4,Sun,0,0,0,0,0,0,0,17.7,0,0,0,5,67,1,0,0,0
A.J. Derby,26.011,2017-10-01,DEN,,OAK,W 16-10,4,4,Sun,0,0,0,0,0,0,0,17.5,0,0,0,4,75,1,0,0,0
Mike Wallace,31.061,2017-10-01,BAL,,PIT,L 9-26,4,4,Sun,0,0,0,0,0,0,0,17.5,0,0,0,6,55,1,0,0,0
A.J. Green,29.062,2017-10-01,CIN,@,CLE,W 31-7,4,4,Sun,0,0,0,0,0,0,0,17.3,0,0,0,5,63,1,0,0,0
Ka'imi Fairbairn,23.245,2017-10-01,HOU,,TEN,W 57-14,4,4,Sun,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,6,7
Chris Hogan,28.342,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,0,0,0,0,0,0,0,17.0,0,0,0,5,60,1,0,0,0
Cooper Kupp,24.108,2017-10-01,LAR,@,DAL,W 35-30,4,4,Sun,0,0,0,0,0,0,0,17.0,0,0,0,5,60,1,0,0,0
Giovani Bernard,25.313,2017-10-01,CIN,@,CLE,W 31-7,4,4,Sun,0,0,0,0,0,0,0,16.9,3,12,0,3,67,1,0,0,0
LeGarrette Blount,30.300,2017-10-01,PHI,@,LAC,W 26-24,4,4,Sun,0,0,0,0,0,0,0,16.6,16,136,0,1,20,0,0,0,0
Carson Palmer,37.278,2017-10-01,ARI,,SFO,W 18-15,4,4,Sun,33,51,64.71,357,1,1,6,16.4,2,1,0,0,0,0,0,0,0
Danny Amendola,31.333,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,0,0,0,0,0,0,0,16.2,0,0,0,6,42,1,0,0,0
Charles Clay,28.230,2017-10-01,BUF,@,ATL,W 23-17,4,4,Sun,0,0,0,0,0,0,0,16.2,0,0,0,5,112,0,0,0,0
Kareem Hunt,22.057,2017-10-02,KAN,,WAS,W 29-20,4,4,Mon,0,0,0,0,0,0,0,16.1,21,101,0,4,20,0,0,0,0
Odell Beckham,24.330,2017-10-01,NYG,@,TAM,L 23-25,4,4,Sun,0,0,0,0,0,0,0,16.0,0,0,0,7,90,0,0,0,0
Jake Elliott,22.253,2017-10-01,PHI,@,LAC,W 26-24,4,4,Sun,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,2,2
Terrelle Pryor,28.104,2017-10-02,WAS,@,KAN,L 20-29,4,4,Mon,0,0,0,0,0,0,0,16.0,0,0,0,3,70,1,0,0,0
Devonta Freeman,25.200,2017-10-01,ATL,,BUF,L 17-23,4,4,Sun,0,0,0,0,0,0,0,15.8,18,58,1,2,20,0,0,0,0
Marcus Mariota,23.336,2017-10-01,TEN,@,HOU,L 14-57,4,4,Sun,6,10,60.00,96,0,2,0,15.7,4,39,2,0,0,0,0,0,0
James White,25.240,2017-10-01,NWE,,CAR,L 30-33,4,4,Sun,0,0,0,0,0,0,0,15.4,1,7,0,10,47,0,0,0,0
C.J. Anderson,26.233,2017-10-01,DEN,,OAK,W 16-10,4,4,Sun,0,0,0,0,0,0,0,15.2,20,95,0,4,17,0,0,0,0
Carson Wentz,24.275,2017-10-01,PHI,@,LAC,W 26-24,4,4,Sun,17,31,54.84,242,1,0,1,15.1,6,14,0,0,0,0,1,0,0
Kendall Wright,27.320,2017-09-28,CHI,@,GNB,L 14-35,4,4,Thu,0,0,0,0,0,0,0,15.1,0,0,0,4,51,1,0,0,0
Robbie Gould,35.275,2017-10-01,SFO,@,ARI,L 15-18,4,4,Sun,0,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0
Steven Hauschka,32.094,2017-10-01,BUF,@,ATL,W 23-17,4,4,Sun,0,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,2,2
Dez Bryant,28.331,2017-10-01,DAL,,LAR,L 30-35,4,4,Sun,0,0,0,0,0,0,0,14.8,0,0,0,5,98,0,0,0,0
Stefon Diggs,23.306,2017-10-01,MIN,,DET,L 7-14,4,4,Sun,0,0,0,0,0,0,0,14.8,0,0,0,5,98,0,0,0,0
Carlos Hyde,27.011,2017-10-01,SFO,@,ARI,L 15-18,4,4,Sun,0,0,0,0,0,0,0,14.5,16,68,0,5,27,0,1,0,0
