Name,Age,Date,Team,At,Opp,Result,Game Number,Week,Day,Passing Cmp,Passing Att,Passing Completion Percentage,Passing Yards,Passing TD,Passing Int,Passing Sack,Fantasy Points,Rushing Att,Rushing Yards,Rushing TD,Recv Rec,Recv Yards,Recv TD,Fumb,Extra Points,Extra Points Att
Robert Woods,25.216,2017-11-12,LAR,,HOU,W 33-7,9,10,Sun,0,0,0,0,0,0,0,37.1,0,0,0,8,171,2,0,0,0
Cam Newton,28.186,2017-11-13,CAR,,MIA,W 45-21,10,10,Mon,21,35,60.00,254,4,0,0,35.7,5,95,0,0,0,0,0,0,0
Mark Ingram,27.326,2017-11-12,NOR,@,BUF,W 47-10,9,10,Sun,0,0,0,0,0,0,0,31.1,21,131,3,0,0,0,0,0,0
Adam Thielen,27.082,2017-11-12,MIN,@,WAS,W 38-30,9,10,Sun,0,0,0,0,0,0,0,30.6,0,0,0,8,166,1,0,0,0
DeMarco Murray,29.273,2017-11-12,TEN,,CIN,W 24-20,9,10,Sun,0,0,0,0,0,0,0,29.2,14,42,2,4,30,1,0,0,0
Kirk Cousins,29.085,2017-11-12,WAS,,MIN,L 30-38,9,10,Sun,26,45,57.78,327,1,1,1,27.6,4,5,2,0,0,0,0,0,0
Austin Ekeler,22.179,2017-11-12,LAC,@,JAX,L 17-20,9,10,Sun,0,0,0,0,0,0,0,26.9,10,42,0,5,77,2,1,0,0
Jared Goff,23.029,2017-11-12,LAR,,HOU,W 33-7,9,10,Sun,25,37,67.57,355,3,0,3,26.5,4,3,0,0,0,0,0,0,0
Devin Funchess,23.176,2017-11-13,CAR,,MIA,W 45-21,10,10,Mon,0,0,0,0,0,0,0,26.2,0,0,0,5,92,2,0,0,0
Sterling Shepard,24.275,2017-11-12,NYG,@,SFO,L 21-31,9,10,Sun,0,0,0,0,0,0,0,25.2,0,0,0,11,142,0,0,0,0
C.J. Beathard,23.361,2017-11-12,SFO,,NYG,W 31-21,10,10,Sun,19,25,76.00,288,2,1,0,25.0,5,15,1,0,0,0,0,0,0
Alvin Kamara,22.110,2017-11-12,NOR,@,BUF,W 47-10,9,10,Sun,0,0,0,0,0,0,0,24.8,12,106,1,5,32,0,0,0,0
Case Keenum,29.268,2017-11-12,MIN,@,WAS,W 38-30,9,10,Sun,21,29,72.41,304,4,2,0,24.1,3,-1,0,0,0,0,0,0,0
DeShone Kizer,21.313,2017-11-12,CLE,@,DET,L 24-38,9,10,Sun,21,37,56.76,232,1,1,1,23.0,7,57,1,0,0,0,0,0,0
Chester Rogers,23.304,2017-11-12,IND,,PIT,L 17-20,10,10,Sun,0,0,0,0,0,0,0,22.7,1,3,0,6,104,1,0,0,0
Tom Brady,40.101,2017-11-12,NWE,@,DEN,W 41-16,9,10,Sun,25,34,73.53,266,3,0,1,22.6,1,0,0,0,0,0,0,0,0
A.J. Green,29.104,2017-11-12,CIN,@,TEN,L 20-24,9,10,Sun,0,0,0,0,0,0,0,22.5,0,0,0,5,115,1,0,0,0
Matthew Stafford,29.278,2017-11-12,DET,,CLE,W 38-24,9,10,Sun,17,26,65.38,249,3,1,4,21.7,4,17,0,0,0,0,0,0,0
Golden Tate,29.102,2017-11-12,DET,,CLE,W 38-24,9,10,Sun,0,0,0,0,0,0,0,21.7,0,0,0,6,97,1,0,0,0
Brandon LaFell,31.008,2017-11-12,CIN,@,TEN,L 20-24,9,10,Sun,0,0,0,0,0,0,0,21.5,0,0,0,6,95,1,0,0,0
Larry Fitzgerald,34.070,2017-11-09,ARI,,SEA,L 16-22,9,10,Thu,0,0,0,0,0,0,0,21.3,0,0,0,10,113,0,0,0,0
Jimmy Graham,30.350,2017-11-09,SEA,@,ARI,W 22-16,9,10,Thu,0,0,0,0,0,0,0,20.7,0,0,0,6,27,2,0,0,0
JuJu Smith-Schuster,20.355,2017-11-12,PIT,@,IND,W 20-17,9,10,Sun,0,0,0,0,0,0,0,20.7,0,0,0,5,97,1,0,0,0
Michael Thomas,24.254,2017-11-12,NOR,@,BUF,W 47-10,9,10,Sun,0,0,0,0,0,0,0,20.7,0,0,0,9,117,0,0,0,0
Davante Adams,24.323,2017-11-12,GNB,@,CHI,W 23-16,9,10,Sun,0,0,0,0,0,0,0,20.0,0,0,0,5,90,1,0,0,0
Christian McCaffrey,21.159,2017-11-13,CAR,,MIA,W 45-21,10,10,Mon,0,0,0,0,0,0,0,20.0,5,23,1,3,27,1,0,0,0
Emmanuel Sanders,30.240,2017-11-12,DEN,,NWE,L 16-41,9,10,Sun,0,0,0,0,0,0,0,19.7,0,0,0,6,137,0,0,0,0
Todd Gurley,23.101,2017-11-12,LAR,,HOU,W 33-7,9,10,Sun,0,0,0,0,0,0,0,19.6,11,68,0,6,68,0,0,0,0
Marqise Lee,25.352,2017-11-12,JAX,,LAC,W 20-17,9,10,Sun,0,0,0,0,0,0,0,19.5,0,0,0,6,55,1,0,0,0
Russell Wilson,28.345,2017-11-09,SEA,@,ARI,W 22-16,9,10,Thu,22,32,68.75,238,2,0,5,19.4,5,19,0,0,0,0,1,0,0
Robby Anderson,24.187,2017-11-12,NYJ,@,TAM,L 10-15,10,10,Sun,0,0,0,0,0,0,0,18.5,0,0,0,4,85,1,0,0,0
DeAndre Hopkins,25.159,2017-11-12,HOU,@,LAR,L 7-33,9,10,Sun,0,0,0,0,0,0,0,18.1,0,0,0,7,111,0,0,0,0
Ben Roethlisberger,35.255,2017-11-12,PIT,@,IND,W 20-17,9,10,Sun,19,31,61.29,236,2,1,1,17.9,2,5,0,0,0,0,1,0,0
Stefon Diggs,23.348,2017-11-12,MIN,@,WAS,W 38-30,9,10,Sun,0,0,0,0,0,0,0,17.8,0,0,0,4,78,1,0,0,0
Marcus Mariota,24.013,2017-11-12,TEN,,CIN,W 24-20,9,10,Sun,25,44,56.82,264,1,1,4,17.7,6,51,0,0,0,0,0,0,0
Dion Lewis,27.046,2017-11-12,NWE,@,DEN,W 41-16,9,10,Sun,0,0,0,0,0,0,0,17.5,14,55,1,0,0,0,0,0,0
Jermaine Gresham,29.146,2017-11-09,ARI,,SEA,L 16-22,9,10,Thu,0,0,0,0,0,0,0,17.4,0,0,0,5,64,1,0,0,0
Kenyan Drake,23.291,2017-11-13,MIA,@,CAR,L 21-45,9,10,Mon,0,0,0,0,0,0,0,17.2,7,82,1,2,10,0,0,0,0
Marquise Goodwin,26.358,2017-11-12,SFO,,NYG,W 31-21,10,10,Sun,0,0,0,0,0,0,0,17.1,1,18,0,1,83,1,0,0,0
Greg Zuerlein,29.320,2017-11-12,LAR,,HOU,W 33-7,9,10,Sun,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,3,3
Austin Hooper,23.008,2017-11-12,ATL,,DAL,W 27-7,9,10,Sun,0,0,0,0,0,0,0,16.9,0,0,0,6,49,1,0,0,0
Eli Manning,36.313,2017-11-12,NYG,@,SFO,L 21-31,9,10,Sun,28,37,75.68,273,2,0,3,16.9,0,0,0,0,0,0,1,0,0
Garrett Celek,29.167,2017-11-12,SFO,,NYG,W 31-21,10,10,Sun,0,0,0,0,0,0,0,16.7,0,0,0,4,67,1,0,0,0
Isaiah Crowell,24.308,2017-11-12,CLE,@,DET,L 24-38,9,10,Sun,0,0,0,0,0,0,0,16.5,16,90,1,1,5,0,0,0,0
Blake Bortles,25.198,2017-11-12,JAX,,LAC,W 20-17,9,10,Sun,28,51,54.90,273,1,2,3,16.3,5,34,0,0,0,0,0,0,0
Le'Veon Bell,25.267,2017-11-12,PIT,@,IND,W 20-17,9,10,Sun,0,0,0,0,0,0,0,16.2,26,80,0,5,32,0,0,0,0
