Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
38,Matt Breida\BreiMa00,SFO,RB,23,2,1,0,0,0,0,0,22,184,8.36,1,6,4,26,6.50,0,,,27,31,34.0,29.0,7,15,38
39,John Brown\BrowJo02,BAL,WR,28,2,2,0,0,0,0,0,1,1,1.00,0,14,7,136,19.43,2,,,26,33,35.7,29.2,7,15,39
40,Golden Tate\TateGo00,DET,WR,30,2,0,0,0,0,0,0,1,9,9.00,0,28,14,188,13.43,1,,,26,40,42.7,32.7,7,14,40
41,O.J. Howard\HowaO.00,TAM,TE,24,2,2,0,0,0,0,0,0,0,,0,6,5,150,30.00,1,,,21,26,29.0,23.5,7,5,41
42,Brandin Cooks\CookBr00,LAR,WR,25,2,2,0,0,0,0,0,1,6,6.00,0,17,12,246,20.50,0,,,25,37,40.2,31.2,6,16,42
43,Cam Newton\NewtCa00,CAR,QB,29,2,2,49,71,496,3,1,18,100,5.56,1,0,0,0,,0,,,46,46,52.8,46.8,6,7,43
44,Blake Bortles\BortBl00,JAX,QB,26,2,2,47,78,552,5,2,10,77,7.70,0,0,0,0,,0,,,46,46,50.8,47.8,6,8,44
45,T.Y. Hilton\HiltT.00,IND,WR,29,2,2,0,0,0,0,0,0,0,,0,22,12,129,10.75,2,,,25,37,39.9,30.9,6,17,45
46,Adrian Peterson\PeteAd01,WAS,RB,33,2,2,0,0,0,0,0,37,116,3.14,1,6,5,100,20.00,0,,,26,31,37.6,28.1,6,16,46
47,Julio Jones\JoneJu02,ATL,WR,29,2,2,0,0,0,0,0,1,11,11.00,0,28,15,233,15.53,0,,,24,39,42.4,31.9,6,18,47
48,Eric Ebron\EbroEr00,IND,TE,25,2,1,0,0,0,0,0,0,0,,0,9,7,77,11.00,2,,,20,27,26.7,23.2,6,6,48
49,Kenny Stills\StilKe00,MIA,WR,26,2,2,0,0,0,0,0,0,0,,0,8,6,123,20.50,2,,,24,30,33.3,27.3,6,19,49
50,DeAndre Hopkins\HopkDe00,HOU,WR,26,2,2,0,0,0,0,0,1,-7,-7.00,0,22,14,188,13.43,1,,,24,38,41.1,31.1,5,20,50
51,Tyler Lockett\LockTy00,SEA,WR,26,2,2,0,0,0,0,0,0,0,,0,11,8,119,14.88,2,,,24,32,34.9,27.9,5,21,51
52,Keenan Allen\AlleKe00,LAC,WR,26,2,2,0,0,0,0,0,0,0,,0,19,14,175,12.50,1,,,24,38,40.5,30.5,5,22,52
53,Randall Cobb\CobbRa00,GNB,WR,28,2,2,0,0,0,0,0,0,0,,0,16,13,172,13.23,1,,,23,36,39.2,29.7,4,23,53
54,Keelan Cole\ColeKe00,JAX,WR,25,2,2,0,0,0,0,0,0,0,,0,12,10,170,17.00,1,,,23,33,36.0,28.0,4,24,54
55,Marshawn Lynch\LyncMa00,OAK,RB,32,2,2,0,0,0,0,0,29,106,3.66,2,3,4,11,2.75,0,,,24,28,30.7,25.7,4,17,55
56,Rob Gronkowski\GronRo00,NWE,TE,29,2,2,0,0,0,0,0,0,0,,0,12,9,138,15.33,1,,,18,27,30.8,22.3,4,7,56
57,Andy Dalton\DaltAn00,CIN,QB,31,2,2,45,70,508,6,1,2,8,4.00,0,0,0,0,,0,,,43,43,47.1,44.1,4,9,57
58,Tevin Coleman\ColeTe01,ATL,RB,25,2,1,0,0,0,0,0,25,126,5.04,1,6,5,44,8.80,0,,,23,28,31.0,25.5,3,18,58
59,Antonio Brown\BrowAn04,PIT,WR,30,2,2,0,0,0,0,0,0,0,,0,33,18,160,8.89,1,,,22,40,43.0,31.0,3,25,59
60,Chris Godwin\GodwCh00,TAM,WR,22,2,0,0,0,0,0,0,0,0,,0,10,8,97,12.13,2,,,22,30,29.7,25.7,3,26,60
61,Christian McCaffrey\McCaCh01,CAR,RB,22,2,2,0,0,0,0,0,18,87,4.83,0,24,20,147,7.35,0,,,21,41,45.4,31.4,2,19,61
62,Dion Lewis\LewiDi00,TEN,RB,28,2,0,0,0,0,0,0,30,117,3.90,1,9,6,36,6.00,0,,,21,27,30.3,24.3,2,20,62
63,Nelson Agholor\AghoNe00,PHI,WR,25,2,2,1,1,15,0,0,2,18,9.00,0,22,16,121,7.56,1,,,21,37,39.5,28.5,2,27,63
64,Aaron Rodgers\RodgAa00,GNB,QB,35,2,2,50,72,567,4,0,4,23,5.75,0,0,0,0,,0,,,41,41,44.0,41.0,1,11,64
65,Tyrod Taylor\TaylTy00,CLE,QB,29,3,3,41,84,462,2,2,16,125,7.81,1,0,0,0,,0,,,41,41,49.0,43.0,1,10,65
66,Geronimo Allison\AlliGe01,GNB,WR,24,2,2,0,0,0,0,0,0,0,,0,14,11,133,12.09,1,,,19,30,33.3,24.8,1,28,66
67,T.J. Yeldon\YeldT.00,JAX,RB,25,2,1,0,0,0,0,0,24,109,4.54,0,12,5,31,6.20,1,,,20,25,28.0,22.5,,21,67
68,James White\WhitJa02,NWE,RB,26,2,0,0,0,0,0,0,9,29,3.22,0,17,11,111,10.09,1,,,20,31,34.0,25.5,,22,68
69,Cooper Kupp\KuppCo00,LAR,WR,25,2,2,0,0,0,0,0,2,16,8.00,0,15,11,115,10.45,1,,,19,30,33.1,24.6,,29,69
70,Evan Engram\EngrEv00,NYG,TE,24,2,2,0,0,0,0,0,0,0,,0,12,9,85,9.44,1,,,15,24,23.5,19.0,,8,70
71,Kyle Rudolph\RudoKy00,MIN,TE,29,2,2,0,0,0,0,0,0,0,,0,10,8,83,10.38,1,,,14,22,22.3,18.3,,9,71
