Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
171,Taywan Taylor\TaylTa00,TEN,WR,23,2,0,0,0,0,0,0,0,0,,0,5,3,32,10.67,1,,,9,12,12.2,10.7,,66,
172,Jake Butt\ButtJa00,DEN,TE,23,2,2,0,0,0,0,0,0,0,,0,10,6,77,12.83,0,,,8,14,13.7,10.7,,20,
173,Chris Carson\CarsCh00,SEA,RB,24,2,2,0,0,0,0,0,13,75,5.77,0,6,3,28,9.33,0,,,8,11,12.3,9.8,,49,
174,Garrett Celek\CeleGa00,SFO,TE,30,2,0,0,0,0,0,0,0,0,,0,2,2,22,11.00,1,,,8,10,10.2,9.2,,18,
175,A.J. Derby\DerbA.00,MIA,TE,27,2,0,0,0,0,0,0,0,0,,0,2,1,19,19.00,1,,,8,9,8.9,8.4,,19,
176,Pierre Garcon\GarcPi00,SFO,WR,32,2,2,0,0,0,0,0,0,0,,0,10,6,78,13.00,0,,,8,14,13.8,10.8,,73,
177,Josh Gordon\GordJo02,CLE,WR,27,1,1,0,0,0,0,0,0,0,,0,3,1,17,17.00,1,,,8,9,8.7,8.2,,74,
178,Virgil Green\GreeVi00,LAC,TE,30,2,2,0,0,0,0,0,0,0,,0,5,5,76,15.20,0,,,8,13,12.6,10.1,,21,
179,Jalen Richard\RichJa01,OAK,RB,25,2,0,0,0,0,0,0,7,27,3.86,0,11,9,55,6.11,0,,,8,17,17.2,12.7,,51,
180,Theo Riddick\RiddTh00,DET,RB,27,2,0,0,0,0,0,0,4,20,5.00,0,19,14,62,4.43,0,,,8,22,22.2,15.2,,50,
181,Michael Roberts\RobeMi01,DET,TE,24,2,1,0,0,0,0,0,0,0,,0,1,1,15,15.00,1,,,8,9,8.5,8.0,,22,
182,C.J. Anderson\AndeC.00,CAR,RB,27,2,1,0,0,0,0,0,10,66,6.60,0,2,0,0,,0,,,7,7,6.6,6.6,,58,
183,Alex Armah\ArmaAl00,CAR,RB,24,2,0,0,0,0,0,0,2,5,2.50,1,0,0,0,,0,,,7,7,6.5,6.5,,60,
184,Nick Boyle\BoylNi00,BAL,TE,25,2,1,0,0,0,0,0,0,0,,0,10,5,66,13.20,0,,,7,12,11.6,9.1,,26,
185,Tarik Cohen\CoheTa00,CHI,RB,23,2,1,0,0,0,0,0,9,33,3.67,0,5,4,33,8.25,0,,,7,11,10.6,8.6,,59,
186,Chris Conley\ConlCh00,KAN,WR,26,2,2,0,0,0,0,0,0,0,,0,3,3,32,10.67,1,,,7,10,11.2,8.7,,78,
187,Jamison Crowder\CrowJa00,WAS,WR,25,2,2,0,0,0,0,0,2,29,14.50,0,8,5,40,8.00,0,,,7,12,11.9,9.4,,79,
188,Chase Edmonds\EdmoCh00,ARI,RB,22,2,0,0,0,0,0,0,5,29,5.80,0,9,9,39,4.33,0,,,7,16,15.8,11.3,,57,
189,Tyler Eifert\EifeTy00,CIN,TE,28,2,0,0,0,0,0,0,0,0,,0,7,5,67,13.40,0,,,7,12,11.7,9.2,,25,
190,Taylor Gabriel\GabrTa00,CHI,WR,27,2,1,0,0,0,0,0,3,17,5.67,0,12,9,55,6.11,0,,,7,16,16.2,11.7,,76,
191,Corey Grant\GranCo00,JAX,RB,27,2,0,0,0,0,0,0,5,16,3.20,0,7,6,56,9.33,0,,,7,13,13.2,10.2,,53,
192,Duke Johnson\JohnDu00,CLE,RB,25,3,1,0,0,0,0,0,10,29,2.90,0,10,5,39,7.80,0,,,7,12,11.8,9.3,,56,
193,Kyle Juszczyk\JuszKy00,SFO,RB,27,2,2,0,0,0,0,0,0,0,,0,6,4,69,17.25,0,,,7,11,10.9,8.9,,54,
194,Ty Montgomery\MontTy01,GNB,RB,25,2,0,0,0,0,0,0,7,38,5.43,0,5,3,30,10.00,0,,,7,10,9.8,8.3,,55,
195,David Njoku\NjokDa00,CLE,TE,22,3,3,0,0,0,0,0,0,0,,0,16,9,69,7.67,0,,,7,16,15.9,11.4,,24,
196,Rashaad Penny\PennRa00,SEA,RB,22,2,0,0,0,0,0,0,17,38,2.24,0,7,4,35,8.75,0,,,7,11,11.3,9.3,,52,
197,John Ross\RossJo00,CIN,WR,24,2,1,0,0,0,0,0,1,-3,-3.00,0,6,2,11,5.50,1,,,7,9,8.8,7.8,,80,
198,Sterling Shepard\ShepSt00,NYG,WR,25,2,2,0,0,0,0,0,0,0,,0,12,8,72,9.00,0,,,7,15,15.2,11.2,,77,
199,James Washington\WashJa00,PIT,WR,22,2,1,0,0,0,0,0,0,0,,0,5,1,14,14.00,1,,,7,8,8.4,7.9,,75,
200,Maxx Williams\WillMa04,BAL,TE,24,2,1,0,0,0,0,0,1,7,7.00,0,6,6,63,10.50,0,,,7,13,13.0,10.0,,23,
201,Danny Amendola\AmenDa00,MIA,WR,33,2,2,0,0,0,0,0,0,0,,0,10,8,58,7.25,0,,,6,14,13.8,9.8,,87,
202,Kendrick Bourne\BourKe00,SFO,WR,23,2,0,0,0,0,0,0,0,0,,0,2,1,4,4.00,1,,,6,7,7.4,6.9,,81,
203,Jack Doyle\DoylJa00,IND,TE,28,2,2,0,0,0,0,0,0,0,,0,15,9,80,8.89,0,,,6,15,16.0,10.5,,29,
204,Leonard Fournette\FourLe00,JAX,RB,23,1,1,0,0,0,0,0,9,41,4.56,0,3,3,14,4.67,0,,,6,9,8.5,7.0,,62,
205,Tyler Higbee\HigbTy00,LAR,TE,25,2,2,0,0,0,0,0,0,0,,0,2,1,3,3.00,1,,,6,7,7.3,6.8,,27,
206,Darius Jennings\JennDa00,TEN,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,6,6,6.0,6.0,,86,
207,Latavius Murray\MurrLa00,MIN,RB,28,2,0,0,0,0,0,0,15,61,4.07,0,0,0,0,,0,,,6,6,6.1,6.1,,61,
208,Joshua Perkins\PerkJo02,PHI,TE,25,2,0,0,0,0,0,0,0,0,,0,6,4,57,14.25,0,,,6,10,9.7,7.7,,30,
209,Andre Roberts\RobeAn00,NYJ,WR,30,3,0,0,0,0,0,0,1,2,2.00,0,0,0,0,,0,,,6,6,6.2,6.2,,83,
210,Demarcus Robinson\RobiDe01,KAN,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,1,,,6,7,7.3,6.8,,82,
211,Deonte Thompson\ThomDe04,DAL,WR,29,2,2,0,0,0,0,0,0,0,,0,10,7,60,8.57,0,,,6,13,13.0,9.5,,85,
212,De'Anthony Thomas\ThomDe05,KAN,WR,25,2,0,0,0,0,0,0,0,0,,0,2,1,1,1.00,1,,,6,7,7.1,6.6,,84,
213,Ben Watson\WatsBe00,NOR,TE,38,2,2,0,0,0,0,0,0,0,,0,9,7,63,9.00,0,,,6,13,13.3,9.8,,28,
214,Giovani Bernard\BernGi00,CIN,RB,27,2,0,0,0,0,0,0,7,25,3.57,0,8,5,26,5.20,0,,,5,10,10.1,7.6,,64,
215,Josh Doctson\DoctJo00,WAS,WR,26,2,2,0,0,0,0,0,0,0,,0,10,5,48,9.60,0,,,5,10,9.8,7.3,,90,
216,Devonta Freeman\FreeDe00,ATL,RB,26,1,1,0,0,0,0,0,6,36,6.00,0,5,3,14,4.67,0,,,5,8,8.0,6.5,,65,
217,Lamar Jackson\JackLa00,BAL,QB,21,2,0,1,4,24,0,0,9,45,5.00,0,0,0,0,,0,,,5,5,5.5,5.5,,33,
218,Jordy Nelson\NelsJo00,OAK,WR,33,2,2,0,0,0,0,0,0,0,,0,8,5,53,10.60,0,,,5,10,10.3,7.8,,89,
219,Ito Smith\SmitIt00,ATL,RB,23,2,0,0,0,0,0,0,9,46,5.11,0,1,1,8,8.00,0,,,5,6,6.4,5.9,,63,
220,Luke Stocker\StocLu00,TEN,TE,30,2,1,0,0,0,0,0,0,0,,0,4,4,52,13.00,0,,,5,9,9.2,7.2,,32,
221,Courtland Sutton\SuttCo00,DEN,WR,23,2,0,0,0,0,0,0,0,0,,0,11,3,54,18.00,0,,,5,8,8.4,6.9,,88,
222,Eric Tomlinson\TomlEr01,NYJ,TE,26,3,3,0,0,0,0,0,0,0,,0,5,3,45,15.00,0,,,5,8,7.5,6.0,,34,
223,C.J. Uzomah\UzomC.00,CIN,TE,25,2,2,0,0,0,0,0,0,0,,0,5,4,49,12.25,0,,,5,9,8.9,6.9,,33,
224,Delanie Walker\WalkHu00,TEN,TE,34,1,1,0,0,0,0,0,0,0,,0,7,4,52,13.00,0,,,5,9,9.2,7.2,,31,
225,Kamar Aiken\AikeKa00,PHI,WR,29,1,1,0,0,0,0,0,0,0,,0,6,5,39,7.80,0,,,4,9,8.9,6.4,,94,
226,Sam Bradford\BradSa00,ARI,QB,31,2,2,37,61,243,0,2,2,7,3.50,0,0,0,0,,0,,,4,4,7.4,6.4,,34,
227,Jaron Brown\BrowJa03,SEA,WR,28,2,0,0,0,0,0,0,0,0,,0,6,4,43,10.75,0,,,4,8,8.3,6.3,,91,
228,Nick Chubb\ChubNi00,CLE,RB,23,3,0,0,0,0,0,0,7,41,5.86,0,0,0,0,,0,,,4,4,4.1,4.1,,70,
229,Antonio Gates\GateAn00,LAC,TE,38,2,0,0,0,0,0,0,0,0,,0,4,2,16,8.00,0,1,,4,6,5.6,4.6,,36,
230,Jacob Hollister\HollJa03,NWE,WR,25,1,1,0,0,0,0,0,0,0,,0,3,3,35,11.67,0,,,4,7,6.5,5.0,,96,
231,Adam Humphries\HumpAd00,TAM,WR,25,2,1,0,0,0,0,0,0,0,,0,7,4,35,8.75,0,,,4,8,7.5,5.5,,97,
232,Cody Latimer\LatiCo00,NYG,WR,26,2,0,0,0,0,0,0,0,0,,0,3,2,41,20.50,0,,,4,6,6.1,5.1,,93,
233,Marlon Mack\MackMa00,IND,RB,22,1,1,0,0,0,0,0,10,34,3.40,0,2,1,2,2.00,0,,,4,5,4.6,4.1,,72,
234,Doug Martin\MartDo00,OAK,RB,29,2,0,0,0,0,0,0,11,44,4.00,0,3,3,-3,-1.00,0,,,4,7,7.1,5.6,,69,
235,Sony Michel\MichSo00,NWE,RB,23,1,0,0,0,0,0,0,10,34,3.40,0,2,1,7,7.00,0,,,4,5,5.1,4.6,,68,
236,Marcus Murphy\MurpMa03,BUF,RB,27,2,0,0,0,0,0,0,9,37,4.11,0,7,1,7,7.00,0,,,4,5,5.4,4.9,,66,
237,Cordarrelle Patterson\PattCo00,NWE,WR,27,2,1,0,0,0,0,0,4,18,4.50,0,6,4,24,6.00,0,,,4,8,8.2,6.2,,92,
238,Jacquizz Rodgers\RodgJa00,TAM,RB,28,2,0,0,0,0,0,0,7,14,2.00,0,4,4,25,6.25,0,,,4,8,7.9,5.9,,71,
239,Chester Rogers\RogeCh02,IND,WR,24,2,1,0,0,0,0,0,0,0,,0,6,6,35,5.83,0,,,4,10,9.5,6.5,,95,
240,Ricky Seals-Jones\SealRi00,ARI,TE,23,2,2,0,0,0,0,0,0,0,,0,12,7,36,5.14,0,,,4,11,10.6,7.1,,35,
241,Spencer Ware\WareSp00,KAN,RB,27,2,0,0,0,0,0,0,4,35,8.75,0,1,1,8,8.00,0,,,4,5,5.3,4.8,,67,
242,Jordan Akins\AkinJo00,HOU,TE,26,2,0,0,0,0,0,0,0,0,,0,4,4,32,8.00,0,,,3,7,7.2,5.2,,39,
243,LeGarrette Blount\BlouLe00,DET,RB,32,2,2,0,0,0,0,0,12,35,2.92,0,1,1,-3,-3.00,0,,,3,4,4.2,3.7,,75,
244,Devontae Booker\BookDe00,DEN,RB,26,2,0,0,0,0,0,0,5,21,4.20,0,2,2,11,5.50,0,,,3,5,5.2,4.2,,73,
245,Martavis Bryant\BryaMa00,OAK,WR,27,1,1,0,0,0,0,0,0,0,,0,3,4,30,7.50,0,,,3,7,7.0,5.0,,102,
246,Derek Carrier\CarrDe00,OAK,TE,28,2,1,0,0,0,0,0,0,0,,0,5,3,25,8.33,0,,,3,6,5.5,4.0,,50,
247,Charles Clay\ClayCh00,BUF,TE,29,2,2,0,0,0,0,0,0,0,,0,5,2,29,14.50,0,,,3,5,4.9,3.9,,41,
248,Jason Croom\CrooJa00,BUF,TE,24,2,0,0,0,0,0,0,0,0,,0,7,4,25,6.25,0,,,3,7,6.5,4.5,,49,
249,Darren Fells\FellDa01,CLE,TE,32,3,3,0,0,0,0,0,0,0,,0,3,3,27,9.00,0,,,3,6,5.7,4.2,,45,
250,Robert Foster\FostRo01,BUF,WR,24,2,0,0,0,0,0,0,0,0,,0,5,2,30,15.00,0,,,3,5,5.0,4.0,,104,
251,Marvin Hall\HallMa02,ATL,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,30,30.00,0,,,3,4,4.0,3.5,,103,
252,Christopher Herndon\HernCh00,NYJ,TE,22,3,2,0,0,0,0,0,0,0,,0,6,4,29,7.25,0,,,3,7,6.9,4.9,,42,
253,Jeff Heuerman\HeueJe00,DEN,TE,26,2,2,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,,,3,6,5.5,4.0,,48,
254,Jeremy Hill\HillJe01,NWE,RB,26,1,0,0,0,0,0,0,4,25,6.25,0,1,1,6,6.00,0,,,3,4,4.1,3.6,,76,
255,Allen Hurns\HurnAl01,DAL,WR,27,2,1,0,0,0,0,0,0,0,,0,5,2,29,14.50,0,,,3,5,4.9,3.9,,105,
256,Jermaine Kearse\KearJe01,NYJ,WR,28,2,0,0,0,0,0,0,0,0,,0,8,4,34,8.50,0,,,3,7,7.4,5.4,,98,
257,Christian Kirk\KirkCh01,ARI,WR,22,2,0,0,0,0,0,0,0,0,,0,7,5,31,6.20,0,,,3,8,8.1,5.6,,100,
258,Vance McDonald\McDoVa00,PIT,TE,28,1,0,0,0,0,0,0,0,0,,0,5,3,26,8.67,0,,,3,6,5.6,4.1,,47,
259,David Morgan\MorgDa01,MIN,TE,25,2,1,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,,,3,6,5.8,4.3,,43,
260,Greg Olsen\OlseGr00,CAR,TE,33,1,1,0,0,0,0,0,0,0,,0,2,2,33,16.50,0,,,3,5,5.3,4.3,,38,
261,Tim Patrick\PatrTi00,DEN,WR,25,2,0,0,0,0,0,0,0,0,,0,4,1,26,26.00,0,,,3,4,3.6,3.1,,108,
262,Mohamed Sanu\SanuMo00,ATL,WR,29,2,2,0,0,0,0,0,1,-4,-4.00,0,8,6,37,6.17,0,,,3,9,9.3,6.3,,99,
263,Tajae Sharpe\SharTa00,TEN,WR,24,2,2,0,0,0,0,0,0,0,,0,5,2,31,15.50,0,,,3,5,5.1,4.1,,101,
264,Darren Sproles\SproDa00,PHI,RB,35,1,1,0,0,0,0,0,5,10,2.00,0,7,4,22,5.50,0,,,3,7,7.2,5.2,,74,
265,Neal Sterling\SterNe00,NYJ,TE,26,2,2,0,0,0,0,0,0,0,,0,3,3,27,9.00,0,,,3,6,5.7,4.2,,44,
266,Ryan Switzer\SwitRy00,PIT,WR,24,2,0,0,0,0,0,0,3,13,4.33,0,3,1,14,14.00,0,,,3,4,3.7,3.2,,107,
267,Trent Taylor\TaylTr02,SFO,WR,24,2,0,0,0,0,0,0,0,0,,0,8,4,28,7.00,0,,,3,7,6.8,4.8,,106,
268,Jordan Thomas\ThomJo05,HOU,TE,22,2,1,0,0,0,0,0,0,0,,0,5,1,27,27.00,0,,,3,4,3.7,3.2,,46,
269,Logan Thomas\ThomLo00,BUF,TE,27,2,0,0,0,0,0,0,0,0,,0,3,2,31,15.50,0,,,3,5,5.1,4.1,,40,
270,Nick Vannett\VannNi00,SEA,TE,25,2,2,0,0,0,0,0,0,0,,0,7,4,34,8.50,0,,,3,7,7.4,5.4,,37,
271,Travis Benjamin\BenjTr00,LAC,WR,29,1,0,0,0,0,0,0,1,19,19.00,0,5,1,1,1.00,0,,,2,3,3.0,2.5,,109,
272,Trenton Cannon\CannTr00,NYJ,RB,24,3,0,0,0,0,0,0,6,15,2.50,0,1,1,6,6.00,0,,,2,3,3.1,2.6,,81,
273,Austin Carr\CarrAu00,NOR,WR,25,2,1,0,0,0,0,0,0,0,,0,3,2,20,10.00,0,,,2,4,4.0,3.0,,110,
274,Vernon Davis\DaviVe00,WAS,TE,34,2,1,0,0,0,0,0,0,0,,0,2,2,16,8.00,0,,,2,4,3.6,2.6,,60,
275,James Develin\DeveJa00,NWE,RB,30,2,1,0,0,0,0,0,0,0,,0,5,4,22,5.50,0,,,2,6,6.2,4.2,,79,
276,Patrick DiMarco\DiMaPa00,BUF,RB,29,2,1,0,0,0,0,0,0,0,,0,1,1,24,24.00,0,,,2,3,3.4,2.9,,77,
277,Rhett Ellison\ElliRh00,NYG,TE,30,2,2,0,0,0,0,0,0,0,,0,3,3,21,7.00,0,,,2,5,5.1,3.6,,52,
278,Gerald Everett\EverGe00,LAR,TE,24,2,0,0,0,0,0,0,0,0,,0,2,1,17,17.00,0,,,2,3,2.7,2.2,,59,
279,Wayne Gallman\GallWa00,NYG,RB,24,2,0,0,0,0,0,0,2,1,0.50,0,3,3,20,6.67,0,,,2,5,5.1,3.6,,80,
280,Ryan Griffin\GrifRy00,HOU,TE,28,2,2,0,0,0,0,0,0,0,,0,6,1,19,19.00,0,,,2,3,2.9,2.4,,55,
281,Josh Hill\HillJo02,NOR,TE,28,2,1,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,,,2,4,4.0,3.0,,53,
282,Lance Kendricks\KendLa00,GNB,TE,30,2,0,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,,,2,4,3.7,2.7,,58,
283,Tyler Kroft\KrofTy00,CIN,TE,26,2,1,0,0,0,0,0,0,0,,0,3,3,20,6.67,0,,,2,5,5.0,3.5,,54,
284,Marcus Mariota\MariMa01,TEN,QB,25,1,1,9,16,103,0,2,3,15,5.00,0,0,0,0,,0,,,2,2,3.6,3.6,,35,
285,Chris Moore\MoorCh00,BAL,WR,25,2,0,0,0,0,0,0,1,2,2.00,0,4,3,14,4.67,0,,,2,5,4.6,3.1,,114,
286,Roosevelt Nix\NixxRo01,PIT,RB,26,2,0,0,0,0,0,0,0,0,,0,1,1,19,19.00,0,,,2,3,2.9,2.4,,82,
287,James O'Shaughnessy\O'ShJa00,JAX,TE,26,2,0,0,0,0,0,0,0,0,,0,3,1,17,17.00,0,,,2,3,2.7,2.2,,57,
288,Zach Pascal\PascZa00,IND,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,18,18.00,0,,,2,3,2.8,2.3,,113,
289,Niles Paul\PaulNi00,JAX,TE,29,2,0,0,0,0,0,0,0,0,,0,2,1,22,22.00,0,,,2,3,3.2,2.7,,51,
290,C.J. Prosise\ProsC.00,SEA,RB,24,2,0,0,0,0,0,0,0,0,,0,3,3,22,7.33,0,,,2,5,5.2,3.7,,78,
291,Tre'Quan Smith\SmitTr03,NOR,WR,22,2,1,0,0,0,0,0,0,0,,0,2,1,18,18.00,0,,,2,3,2.8,2.3,,112,
292,Geoff Swaim\SwaiGe00,DAL,TE,25,2,2,0,0,0,0,0,0,0,,0,4,3,18,6.00,0,,,2,5,4.8,3.3,,56,
293,Terrance Williams\WillTe01,DAL,WR,29,2,1,0,0,0,0,0,0,0,,0,3,2,18,9.00,0,,,2,4,3.8,2.8,,111,
294,Shaun Wilson\WilsSh01,TAM,RB,23,2,0,0,0,0,0,0,2,15,7.50,0,0,0,0,,0,,,2,2,1.5,1.5,,83,
295,Josh Bellamy\BellJo02,CHI,WR,29,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,,,1,2,1.6,1.1,,120,
296,Michael Burton\BurtMi00,CHI,RB,26,1,1,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,,,1,2,1.6,1.1,,94,
297,DeAndre Carter\CartDe02,PHI,WR,25,2,1,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,,,1,2,2.0,1.5,,117,
298,Tyler Conklin\ConkTy00,MIN,TE,23,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,,,1,2,1.6,1.1,,69,
299,Tyler Ervin\ErviTy00,HOU,RB,25,2,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,,,1,2,2.2,1.7,,85,
300,Michael Gallup\GallMi00,DAL,WR,22,2,0,0,0,0,0,0,0,0,,0,3,2,14,7.00,0,,,1,3,3.4,2.4,,115,
301,Mike Gesicki\GesiMi00,MIA,TE,23,2,1,0,0,0,0,0,0,0,,0,2,1,11,11.00,0,,,1,2,2.1,1.6,,65,
302,Mike Gillislee\GillMi00,NOR,RB,28,2,0,0,0,0,0,0,11,27,2.45,0,0,0,0,,0,,,1,1,1.7,0.7,,93,
303,C.J. Ham\HamxC.00,MIN,RB,25,2,0,0,0,0,0,0,1,5,5.00,0,2,0,0,,0,,,1,1,0.5,0.5,,96,
304,Andre Holmes\HolmAn00,BUF,WR,30,2,0,0,0,0,0,0,0,0,,0,5,1,14,14.00,0,,,1,2,2.4,1.9,,116,
305,Justin Hunter\HuntJu00,PIT,WR,27,1,0,0,0,0,0,0,0,0,,0,5,1,6,6.00,0,,,1,2,1.6,1.1,,121,
306,Andy Janovich\JanoAn00,DEN,RB,25,2,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,,,1,2,2.1,1.6,,86,
307,T.J. Jones\JoneT.00,DET,WR,26,2,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,,,1,2,1.6,1.1,,122,
308,Robert Kelley\KellRo00,WAS,RB,26,2,0,0,0,0,0,0,4,8,2.00,0,0,0,0,,0,,,1,1,0.8,0.8,,90,
309,Jeremy Kerley\KerlJe00,BUF,WR,30,1,1,0,0,0,0,0,0,0,,0,4,2,7,3.50,0,,,1,3,2.7,1.7,,119,
310,Tre Madden\MaddTr01,SEA,RB,25,2,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,,,1,2,1.7,1.2,,92,
311,Rishard Matthews\MattRi00,TEN,WR,29,2,0,0,0,0,0,0,0,0,,0,4,2,8,4.00,0,,,1,3,2.8,1.8,,118,
312,Christine Michael\MichCh00,IND,RB,28,1,0,0,0,0,0,0,2,9,4.50,0,0,0,0,,0,,,1,1,0.9,0.9,,88,
313,Logan Paulsen\PaulLo00,ATL,TE,31,2,2,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,,,1,2,2.0,1.5,,66,
314,Stevan Ridley\RidlSt00,PIT,RB,29,2,0,0,0,0,0,0,1,2,2.00,0,1,1,5,5.00,0,,,1,2,1.7,1.2,,91,
315,Dion Sims\SimsDi00,CHI,TE,27,2,2,0,0,0,0,0,0,0,,0,3,2,9,4.50,0,,,1,3,2.9,1.9,,67,
316,Wendell Smallwood\SmalWe00,PHI,RB,24,2,0,0,0,0,0,0,7,28,4.00,0,1,1,2,2.00,0,,,1,2,3.0,1.5,,87,
317,Jonnu Smith\SmitJo01,TEN,TE,23,2,2,0,0,0,0,0,0,0,,0,3,1,12,12.00,0,,,1,2,2.2,1.7,,64,
318,Keith Smith\SmitKe03,OAK,RB,26,2,0,0,0,0,0,0,0,0,,0,3,2,12,6.00,0,,,1,3,3.2,2.2,,84,
319,Rod Smith\SmitRo06,DAL,RB,26,2,0,0,0,0,0,0,1,5,5.00,0,1,0,0,,0,,,1,1,0.5,0.5,,95,
320,Jonathan Stewart\StewJo00,NYG,RB,31,2,0,0,0,0,0,0,4,9,2.25,0,0,0,0,,0,,,1,1,0.9,0.9,,89,
321,Erik Swoope\SwooEr00,IND,TE,26,1,0,0,0,0,0,0,0,0,,0,1,1,13,13.00,0,,,1,2,2.3,1.8,,62,
322,Ian Thomas\ThomIa00,CAR,TE,22,2,1,0,0,0,0,0,0,0,,0,5,4,14,3.50,0,,,1,5,5.4,3.4,,61,
323,Levine Toilolo\ToilLe00,DET,TE,27,2,1,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,,,1,2,1.7,1.2,,68,
324,Hakeem Valles\VallHa00,DET,TE,26,1,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,,,1,2,1.5,1.0,,70,
325,Luke Willson\WillLu00,DET,TE,28,2,1,0,0,0,0,0,0,0,,0,2,1,13,13.00,0,,,1,2,2.3,1.8,,63,
326,Dwayne Allen\AlleDw00,NWE,,28,2,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,80,
327,Cameron Artis-Payne\ArtiCa00,CAR,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,108,
328,Tommy Bohanon\BohaTo00,JAX,,28,2,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,3,
329,Brandon Bolden\BoldBr00,MIA,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,106,
330,Ben Braunecker\BrauBe00,CHI,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,84,
331,Daniel Brown\BrowDa04,CHI,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,150,
332,Orson Charles\CharOr00,CLE,,27,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,86,
333,Jehu Chesson\ChesJe00,WAS,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,141,
334,Sammie Coates\CoatSa00,HOU,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,124,
335,Derrick Coleman\ColeDe00,ARI,RB,28,2,1,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,,,,,0.1,0.1,,102,
336,Stacy Coley\ColeSt00,MIN,,24,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,132,
337,Pharoh Cooper\CoopPh00,LAR,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,146,
338,Alan Cross\CrosAl00,TAM,,25,2,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,88,
339,Sean Culkin\CulkSe00,LAC,,25,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,82,
340,Benny Cunningham\CunnBe01,CHI,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,109,
341,Darrell Daniels\DaniDa02,SEA,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,76,
342,Geremy Davis\DaviGe00,LAC,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,140,
343,Justin Davis\DaviJu00,LAR,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,105,
344,Mike Davis\DaviMi01,SEA,RB,25,1,0,0,0,0,0,0,3,3,1.00,0,1,1,-1,-1.00,0,,,,1,1.2,0.7,,100,
345,Seth Devalve\DevaSe00,CLE,,25,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,73,
346,David Fluellen\FlueDa00,TEN,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,103,
347,Dallas Goedert\GoedDa00,PHI,TE,23,2,0,0,0,0,0,0,0,0,,0,3,1,4,4.00,0,,,,1,1.4,0.9,,71,
348,Marquise Goodwin\GoodMa00,SFO,,28,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,147,
349,Xavier Grimble\GrimXa00,PIT,,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,83,
350,Justin Hardy\HardJu00,ATL,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,134,
351,Justin Hardee\HardJu01,NOR,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,151,
352,Clark Harris\HarrCl20,CIN,,34,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,85,
