Name,Age,Date,Team,At,Opp,Result,Game Number,Week,Day,Passing Cmp,Passing Att,Passing Completion Percentage,Passing Yards,Passing TD,Passing Int,Passing Sack,Fantasy Points,Rushing Att,Rushing Yards,Rushing TD,Recv Rec,Recv Yards,Recv TD,Fumb,Extra Points,Extra Points Att
Mitch Trubisky,24.041,2018-09-30,CHI,,TAM,W 48-10,4,4,Sun,19,26,73.08,354,6,0,1,43.5,3,53,0,0,0,0,0,0,0
Alvin Kamara,23.067,2018-09-30,NOR,@,NYG,W 33-18,4,4,Sun,0,0,0,0,0,0,0,41.1,19,134,3,5,47,0,0,0,0
Jared Goff,23.348,2018-09-27,LAR,,MIN,W 38-31,4,4,Thu,26,33,78.79,465,5,0,1,39.3,2,7,0,0,0,0,0,0,0
Cooper Kupp,25.104,2018-09-27,LAR,,MIN,W 38-31,4,4,Thu,0,0,0,0,0,0,0,37.2,0,0,0,9,162,2,0,0,0
Andrew Luck,29.018,2018-09-30,IND,,HOU,L 34-37,4,4,Sun,40,62,64.52,464,4,0,4,35.7,3,11,0,0,0,0,2,0,0
Ezekiel Elliott,23.070,2018-09-30,DAL,,DET,W 26-24,4,4,Sun,0,0,0,0,0,0,0,34.0,25,152,0,4,88,1,1,0,0
Golden Tate,30.059,2018-09-30,DET,@,DAL,L 24-26,4,4,Sun,0,0,0,0,0,0,0,33.2,0,0,0,8,132,2,0,0,0
DeAndre Hopkins,26.116,2018-09-30,HOU,@,IND,W 37-34,4,4,Sun,0,0,0,0,0,0,0,32.9,0,0,0,10,169,1,0,0,0
Kirk Cousins,30.039,2018-09-27,MIN,@,LAR,L 31-38,4,4,Thu,36,50,72.00,422,3,0,4,31.7,4,28,0,0,0,0,1,0,0
Derek Carr,27.186,2018-09-30,OAK,,CLE,W 45-42,4,4,Sun,35,58,60.34,437,4,2,3,31.6,2,1,0,0,0,0,0,0,0
James White,26.239,2018-09-30,NWE,,MIA,W 38-7,4,4,Sun,0,0,0,0,0,0,0,31.2,8,44,1,8,68,1,0,0,0
Corey Davis,23.262,2018-09-30,TEN,,PHI,W 26-23,4,4,Sun,0,0,0,0,0,0,0,31.1,0,0,0,9,161,1,0,0,0
Deshaun Watson,23.016,2018-09-30,HOU,@,IND,W 37-34,4,4,Sun,29,42,69.05,375,2,1,7,31.1,6,41,1,0,0,0,0,0,0
Jared Cook,31.176,2018-09-30,OAK,,CLE,W 45-42,4,4,Sun,0,0,0,0,0,0,0,31.0,0,0,0,8,110,2,0,0,0
Melvin Gordon,25.170,2018-09-30,LAC,,SFO,W 29-27,4,4,Sun,0,0,0,0,0,0,0,30.9,15,104,0,7,55,1,1,0,0
Tarik Cohen,23.066,2018-09-30,CHI,,TAM,W 48-10,4,4,Sun,0,0,0,0,0,0,0,30.4,13,53,0,7,121,1,0,0,0
