Name,Age,Date,Team,At,Opp,Result,Game Number,Week,Day,Passing Cmp,Passing Att,Passing Completion Percentage,Passing Yards,Passing TD,Passing Int,Passing Sack,Fantasy Points,Rushing Att,Rushing Yards,Rushing TD,Recv Rec,Recv Yards,Recv TD,Fumb,Extra Points,Extra Points Att
Ben Roethlisberger,36.198,2018-09-16,PIT,,KAN,L 37-42,2,2,Sun,39,60,65.00,452,3,0,1,39.0,2,9,1,0,0,0,1,0,0
Patrick Mahomes,22.364,2018-09-16,KAN,@,PIT,W 42-37,2,2,Sun,23,28,82.14,326,6,0,1,38.8,5,18,0,0,0,0,1,0,0
Stefon Diggs,24.291,2018-09-16,MIN,@,GNB,T 29-29,2,2,Sun,0,0,0,0,0,0,0,35.9,1,1,0,9,128,2,0,0,0
Kirk Cousins,30.028,2018-09-16,MIN,@,GNB,T 29-29,2,2,Sun,35,48,72.92,425,4,1,2,33.5,2,5,0,0,0,0,0,0,0
Blake Bortles,26.141,2018-09-16,JAX,,NWE,W 31-20,2,2,Sun,29,45,64.44,376,4,1,0,32.5,6,35,0,0,0,0,0,0,0
Todd Gurley,24.044,2018-09-16,LAR,,ARI,W 34-0,2,2,Sun,0,0,0,0,0,0,0,32.3,19,42,3,3,31,0,0,0,0
JuJu Smith-Schuster,21.298,2018-09-16,PIT,,KAN,L 37-42,2,2,Sun,0,0,0,0,0,0,0,31.1,0,0,0,13,121,1,0,0,0
Adam Thielen,28.025,2018-09-16,MIN,@,GNB,T 29-29,2,2,Sun,0,0,0,0,0,0,0,31.1,0,0,0,12,131,1,0,0,0
Michael Thomas,25.197,2018-09-16,NOR,,CLE,W 21-18,2,2,Sun,0,0,0,0,0,0,0,30.9,0,0,0,12,89,2,1,0,0
Matt Ryan,33.122,2018-09-16,ATL,,CAR,W 31-24,2,2,Sun,23,28,82.14,272,2,1,0,30.7,4,18,2,0,0,0,0,0,0
Melvin Gordon,25.156,2018-09-16,LAC,@,BUF,W 31-20,2,2,Sun,0,0,0,0,0,0,0,30.6,9,28,1,6,38,2,0,0,0
Ryan Fitzpatrick,35.296,2018-09-16,TAM,,PHI,W 27-21,2,2,Sun,27,33,81.82,402,4,1,2,30.0,1,-1,0,0,0,0,0,0,0
A.J. Green,30.044,2018-09-13,CIN,,BAL,W 34-23,2,2,Thu,0,0,0,0,0,0,0,29.9,0,0,0,5,69,3,0,0,0
Travis Kelce,28.346,2018-09-16,KAN,@,PIT,W 42-37,2,2,Sun,0,0,0,0,0,0,0,29.9,0,0,0,7,109,2,0,0,0
Christian McCaffrey,22.101,2018-09-16,CAR,@,ATL,L 24-31,2,2,Sun,0,0,0,0,0,0,0,27.9,8,37,0,14,102,0,0,0,0
Cam Newton,29.128,2018-09-16,CAR,@,ATL,L 24-31,2,2,Sun,32,45,71.11,335,3,1,2,27.6,5,42,0,0,0,0,0,0,0
Andy Dalton,30.319,2018-09-13,CIN,,BAL,W 34-23,2,2,Thu,24,42,57.14,265,4,0,0,26.6,0,0,0,0,0,0,0,0,0
Will Fuller,24.153,2018-09-16,HOU,@,TEN,L 17-20,2,2,Sun,0,0,0,0,0,0,0,25.3,0,0,0,8,113,1,0,0,0
Matt Breida,23.200,2018-09-16,SFO,,DET,W 30-27,2,2,Sun,0,0,0,0,0,0,0,24.9,11,138,1,3,21,0,0,0,0
Saquon Barkley,21.219,2018-09-16,NYG,@,DAL,L 13-20,2,2,Sun,0,0,0,0,0,0,0,24.8,11,28,0,14,80,0,0,0,0
Jesse James,24.104,2018-09-16,PIT,,KAN,L 37-42,2,2,Sun,0,0,0,0,0,0,0,24.8,0,0,0,5,138,1,0,0,0
Matthew Stafford,30.221,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,34,53,64.15,347,3,0,2,24.7,1,8,0,0,0,0,1,0,0
Keelan Cole,25.149,2018-09-16,JAX,,NWE,W 31-20,2,2,Sun,0,0,0,0,0,0,0,24.6,0,0,0,7,116,1,0,0,0
Nelson Agholor,25.115,2018-09-16,PHI,@,TAM,L 21-27,2,2,Sun,0,0,0,0,0,0,0,23.0,1,2,0,8,88,1,0,0,0
DeAndre Hopkins,26.102,2018-09-16,HOU,@,TEN,L 17-20,2,2,Sun,0,0,0,0,0,0,0,23.0,0,0,0,6,110,1,0,0,0
Brandin Cooks,24.356,2018-09-16,LAR,,ARI,W 34-0,2,2,Sun,0,0,0,0,0,0,0,22.9,0,0,0,7,159,0,0,0,0
DeSean Jackson,31.289,2018-09-16,TAM,,PHI,W 27-21,2,2,Sun,0,0,0,0,0,0,0,22.9,0,0,0,4,129,1,0,0,0
Deshaun Watson,23.002,2018-09-16,HOU,@,TEN,L 17-20,2,2,Sun,22,32,68.75,310,2,1,4,22.8,5,44,0,0,0,0,2,0,0
Philip Rivers,36.282,2018-09-16,LAC,@,BUF,W 31-20,2,2,Sun,23,27,85.19,256,3,0,2,22.7,3,5,0,0,0,0,1,0,0
Mike Evans,25.026,2018-09-16,TAM,,PHI,W 27-21,2,2,Sun,0,0,0,0,0,0,0,22.3,0,0,0,10,83,1,1,0,0
Chris Thompson,27.331,2018-09-16,WAS,,IND,L 9-21,2,2,Sun,0,0,0,0,0,0,0,22.3,4,1,0,13,92,0,0,0,0
Amari Cooper,24.090,2018-09-16,OAK,@,DEN,L 19-20,2,2,Sun,0,0,0,0,0,0,0,21.6,0,0,0,10,116,0,0,0,0
T.Y. Hilton,28.306,2018-09-16,IND,@,WAS,W 21-9,2,2,Sun,0,0,0,0,0,0,0,21.3,0,0,0,7,83,1,0,0,0
Tyler Boyd,23.302,2018-09-13,CIN,,BAL,W 34-23,2,2,Thu,0,0,0,0,0,0,0,21.1,0,0,0,6,91,1,0,0,0
Kenny Golladay,24.317,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,0,0,0,0,0,0,0,20.9,0,0,0,6,89,1,0,0,0
Davante Adams,25.266,2018-09-16,GNB,,MIN,T 29-29,2,2,Sun,0,0,0,0,0,0,0,20.4,0,0,0,8,64,1,0,0,0
Zach Ertz,27.310,2018-09-16,PHI,@,TAM,L 21-27,2,2,Sun,0,0,0,0,0,0,0,20.4,0,0,0,11,94,0,0,0,0
Tyreek Hill,24.199,2018-09-16,KAN,@,PIT,W 42-37,2,2,Sun,0,0,0,0,0,0,0,20.0,0,0,0,5,90,1,0,0,0
Ezekiel Elliott,23.056,2018-09-16,DAL,,NYG,W 20-13,2,2,Sun,0,0,0,0,0,0,0,19.7,17,78,1,5,9,0,0,0,0
Evan Engram,24.014,2018-09-16,NYG,@,DAL,L 13-20,2,2,Sun,0,0,0,0,0,0,0,19.7,0,0,0,7,67,1,0,0,0
