Name,Age,Date,Team,At,Opp,Result,Game Number,Week,Day,Passing Cmp,Passing Att,Passing Completion Percentage,Passing Yards,Passing TD,Passing Int,Passing Sack,Fantasy Points,Rushing Att,Rushing Yards,Rushing TD,Recv Rec,Recv Yards,Recv TD,Fumb,Extra Points,Extra Points Att
Corey Clement,23.318,2018-09-16,PHI,@,TAM,L 21-27,2,2,Sun,0,0,0,0,0,0,0,19.5,6,30,1,5,55,0,0,0,0
James Conner,23.134,2018-09-16,PIT,,KAN,L 37-42,2,2,Sun,0,0,0,0,0,0,0,19.5,8,17,1,5,48,0,0,0,0
John Brown,28.163,2018-09-13,BAL,@,CIN,L 23-34,2,2,Thu,0,0,0,0,0,0,0,19.2,0,0,0,4,92,1,0,0,0
Chris Hogan,29.327,2018-09-16,NWE,@,JAX,L 20-31,2,2,Sun,0,0,0,0,0,0,0,19.2,0,0,0,3,42,2,0,0,0
Sammy Watkins,25.094,2018-09-16,KAN,@,PIT,W 42-37,2,2,Sun,0,0,0,0,0,0,0,19.1,1,31,0,6,100,0,0,0,0
Bilal Powell,29.324,2018-09-16,NYJ,,MIA,L 12-20,2,2,Sun,0,0,0,0,0,0,0,19.0,5,6,0,5,74,1,0,0,0
Golden Tate,30.045,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,0,0,0,0,0,0,0,18.8,1,9,0,7,109,0,0,0,0
O.J. Howard,23.301,2018-09-16,TAM,,PHI,W 27-21,2,2,Sun,0,0,0,0,0,0,0,18.6,0,0,0,3,96,1,0,0,0
Jared Goff,23.337,2018-09-16,LAR,,ARI,W 34-0,2,2,Sun,24,32,75.00,354,1,1,2,18.4,2,2,0,0,0,0,0,0,0
Allen Robinson,25.024,2018-09-17,CHI,,SEA,W 24-17,2,2,Mon,0,0,0,0,0,0,0,18.3,0,0,0,10,83,0,0,0,0
Alvin Kamara,23.053,2018-09-16,NOR,,CLE,W 21-18,2,2,Sun,0,0,0,0,0,0,0,17.9,13,46,0,6,53,0,0,0,0
Antonio Callaway,21.250,2018-09-16,CLE,@,NOR,L 18-21,2,2,Sun,0,0,0,0,0,0,0,17.8,2,7,0,3,81,1,0,0,0
Joe Flacco,33.240,2018-09-13,BAL,@,CIN,L 23-34,2,2,Thu,32,55,58.18,376,2,2,4,17.8,3,8,0,0,0,0,1,0,0
Drew Brees,39.244,2018-09-16,NOR,,CLE,W 21-18,2,2,Sun,28,35,80.00,243,2,0,3,17.6,1,-1,0,0,0,0,0,0,0
Dede Westbrook,24.299,2018-09-16,JAX,,NWE,W 31-20,2,2,Sun,0,0,0,0,0,0,0,17.6,1,-6,0,4,82,1,1,0,0
Tavon Austin,28.185,2018-09-16,DAL,,NYG,W 20-13,2,2,Sun,0,0,0,0,0,0,0,17.4,1,15,0,2,79,1,0,0,0
Jarius Wright,28.295,2018-09-16,CAR,@,ATL,L 24-31,2,2,Sun,0,0,0,0,0,0,0,17.2,0,0,0,5,62,1,0,0,0
Ryan Tannehill,30.051,2018-09-16,MIA,@,NYJ,W 20-12,2,2,Sun,17,23,73.91,168,2,0,4,17.1,8,44,0,0,0,0,2,0,0
Mason Crosby,34.013,2018-09-16,GNB,,MIN,T 29-29,2,2,Sun,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,2,2
Kenyan Drake,24.233,2018-09-16,MIA,@,NYJ,W 20-12,2,2,Sun,0,0,0,0,0,0,0,17.0,11,53,1,4,17,0,0,0,0
Tyler Lockett,25.354,2018-09-17,SEA,@,CHI,L 17-24,2,2,Mon,0,0,0,0,0,0,0,17.0,0,0,0,5,60,1,1,0,0
Austin Hooper,23.316,2018-09-16,ATL,,CAR,W 31-24,2,2,Sun,0,0,0,0,0,0,0,16.9,0,0,0,5,59,1,0,0,0
Calvin Ridley,23.270,2018-09-16,ATL,,CAR,W 31-24,2,2,Sun,0,0,0,0,0,0,0,16.7,1,3,0,4,64,1,0,0,0
Jimmy Garoppolo,26.318,2018-09-16,SFO,,DET,W 30-27,2,2,Sun,18,26,69.23,206,2,0,6,16.6,3,4,0,0,0,0,1,0,0
Chris Godwin,22.201,2018-09-16,TAM,,PHI,W 27-21,2,2,Sun,0,0,0,0,0,0,0,16.6,0,0,0,5,56,1,0,0,0
Tevin Coleman,25.153,2018-09-16,ATL,,CAR,W 31-24,2,2,Sun,0,0,0,0,0,0,0,16.5,16,107,0,4,18,0,1,0,0
Tom Brady,41.044,2018-09-16,NWE,@,JAX,L 20-31,2,2,Sun,24,35,68.57,234,2,0,2,16.4,3,10,0,0,0,0,1,0,0
Quincy Enunwa,26.108,2018-09-16,NYJ,,MIA,L 12-20,2,2,Sun,0,0,0,0,0,0,0,16.2,0,0,0,7,92,0,1,0,0
Aaron Rodgers,34.288,2018-09-16,GNB,,MIN,T 29-29,2,2,Sun,30,42,71.43,281,1,0,4,16.0,3,8,0,0,0,0,1,0,0
Antonio Brown,30.068,2018-09-16,PIT,,KAN,L 37-42,2,2,Sun,0,0,0,0,0,0,0,15.7,0,0,0,9,67,0,0,0,0
Nick Foles,29.239,2018-09-16,PHI,@,TAM,L 21-27,2,2,Sun,35,48,72.92,334,1,0,3,15.7,3,8,0,0,-5,0,1,0,0
Derek Carr,27.172,2018-09-16,OAK,@,DEN,L 19-20,2,2,Sun,29,32,90.63,288,1,0,1,15.5,0,0,0,0,0,0,0,0,0
Jimmy Graham,31.296,2018-09-16,GNB,,MIN,T 29-29,2,2,Sun,0,0,0,0,0,0,0,15.5,0,0,0,6,95,0,0,0,0
Javorius Allen,27.017,2018-09-13,BAL,@,CIN,L 23-34,2,2,Thu,0,0,0,0,0,0,0,15.4,6,8,1,5,36,0,0,0,0
Marvin Jones,28.188,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,0,0,0,0,0,0,0,15.4,0,0,0,4,54,1,0,0,0
James White,26.225,2018-09-16,NWE,@,JAX,L 20-31,2,2,Sun,0,0,0,0,0,0,0,15.4,4,11,0,7,73,0,0,0,0
Kareem Hunt,23.041,2018-09-16,KAN,@,PIT,W 42-37,2,2,Sun,0,0,0,0,0,0,0,15.0,18,75,0,1,5,1,0,0,0
Dak Prescott,25.049,2018-09-16,DAL,,NYG,W 20-13,2,2,Sun,16,25,64.00,160,1,0,0,14.9,7,45,0,0,0,0,0,0,0
Marshawn Lynch,32.147,2018-09-16,OAK,@,DEN,L 19-20,2,2,Sun,0,0,0,0,0,0,0,14.8,18,65,1,2,3,0,0,0,0
Devin Funchess,24.118,2018-09-16,CAR,@,ATL,L 24-31,2,2,Sun,0,0,0,0,0,0,0,14.7,0,0,0,7,77,0,0,0,0
Russell Wilson,29.292,2018-09-17,SEA,@,CHI,L 17-24,2,2,Mon,22,36,61.11,226,2,1,6,14.7,3,17,0,0,0,0,2,0,0
Case Keenum,30.211,2018-09-16,DEN,,OAK,W 20-19,2,2,Sun,19,35,54.29,222,0,1,1,14.5,3,16,1,0,0,0,0,0,0
Tyrod Taylor,29.044,2018-09-16,CLE,@,NOR,L 18-21,2,2,Sun,22,30,73.33,246,1,1,3,14.4,4,26,0,0,0,0,2,0,0
Mitch Trubisky,24.028,2018-09-17,CHI,,SEA,W 24-17,2,2,Mon,25,34,73.53,200,2,2,2,14.4,5,24,0,0,0,0,0,0,0
Kyle Rudolph,28.311,2018-09-16,MIN,@,GNB,T 29-29,2,2,Sun,0,0,0,0,0,0,0,14.2,0,0,0,7,72,0,0,0,0
Robert Woods,26.159,2018-09-16,LAR,,ARI,W 34-0,2,2,Sun,0,0,0,0,0,0,0,14.1,0,0,0,6,81,0,0,0,0
Theo Riddick,27.135,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,0,0,0,0,0,0,0,13.7,0,0,0,9,47,0,0,0,0
Dane Cruikshank,23.142,2018-09-16,TEN,,HOU,W 20-17,2,2,Sun,0,0,0,0,0,0,0,13.6,0,0,0,1,66,1,0,0,0
Eli Manning,37.256,2018-09-16,NYG,@,DAL,L 13-20,2,2,Sun,33,44,75.00,279,1,0,6,13.6,3,4,0,0,0,0,1,0,0
Emmanuel Sanders,31.183,2018-09-16,DEN,,OAK,W 20-19,2,2,Sun,0,0,0,0,0,0,0,13.6,0,0,0,4,96,0,0,0,0
Sam Darnold,21.103,2018-09-16,NYJ,,MIA,L 12-20,2,2,Sun,25,41,60.98,334,1,2,3,13.5,2,1,0,0,0,0,1,0,0
Albert Wilson,26.066,2018-09-16,MIA,@,NYJ,W 20-12,2,2,Sun,0,0,0,0,0,0,0,13.5,2,8,0,3,37,1,0,0,0
Donte Moncrief,25.041,2018-09-16,JAX,,NWE,W 31-20,2,2,Sun,0,0,0,0,0,0,0,13.4,0,0,0,4,34,1,0,0,0
Seth Roberts,27.206,2018-09-16,OAK,@,DEN,L 19-20,2,2,Sun,0,0,0,0,0,0,0,13.3,0,0,0,3,43,1,0,0,0
Will Dissly,22.071,2018-09-17,SEA,@,CHI,L 17-24,2,2,Mon,0,0,0,0,0,0,0,13.2,0,0,0,3,42,1,0,0,0
Alex Smith,34.132,2018-09-16,WAS,,IND,L 9-21,2,2,Sun,33,46,71.74,292,0,0,3,13.1,4,14,0,0,0,0,1,0,0
Josh Allen,22.118,2018-09-16,BUF,,LAC,L 20-31,2,2,Sun,18,33,54.55,245,1,2,5,13.0,8,32,0,0,0,0,0,0,0
Corey Grant,26.271,2018-09-16,JAX,,NWE,W 31-20,2,2,Sun,0,0,0,0,0,0,0,12.9,4,13,0,6,56,0,0,0,0
Austin Ekeler,23.122,2018-09-16,LAC,@,BUF,W 31-20,2,2,Sun,0,0,0,0,0,0,0,12.8,11,77,0,3,21,0,0,0,0
D.J. Moore,21.155,2018-09-16,CAR,@,ATL,L 24-31,2,2,Sun,0,0,0,0,0,0,0,12.8,1,7,0,1,51,1,0,0,0
Keenan Allen,26.142,2018-09-16,LAC,@,BUF,W 31-20,2,2,Sun,0,0,0,0,0,0,0,12.7,0,0,0,6,67,0,0,0,0
Geronimo Allison,24.241,2018-09-16,GNB,,MIN,T 29-29,2,2,Sun,0,0,0,0,0,0,0,12.4,0,0,0,6,64,0,0,0,0
Terrelle Pryor,29.088,2018-09-16,NYJ,,MIA,L 12-20,2,2,Sun,0,0,0,0,0,0,0,12.4,0,0,0,4,84,0,0,0,0
Cooper Kupp,25.093,2018-09-16,LAR,,ARI,W 34-0,2,2,Sun,0,0,0,0,0,0,0,12.3,0,0,0,6,63,0,0,0,0
Torrey Smith,29.233,2018-09-16,CAR,@,ATL,L 24-31,2,2,Sun,0,0,0,0,0,0,0,12.3,0,0,0,3,33,1,0,0,0
Trey Burton,26.323,2018-09-17,CHI,,SEA,W 24-17,2,2,Mon,0,0,0,0,0,0,0,12.2,1,2,0,4,20,1,0,0,0
Taywan Taylor,23.198,2018-09-16,TEN,,HOU,W 20-17,2,2,Sun,0,0,0,0,0,0,0,12.2,0,0,0,3,32,1,0,0,0
Phillip Lindsay,24.054,2018-09-16,DEN,,OAK,W 20-19,2,2,Sun,0,0,0,0,0,0,0,12.1,14,107,0,1,4,0,0,0,0
Alex Collins,24.018,2018-09-13,BAL,@,CIN,L 23-34,2,2,Thu,0,0,0,0,0,0,0,12.0,9,35,0,3,55,0,0,0,0
Dalvin Cook,23.037,2018-09-16,MIN,@,GNB,T 29-29,2,2,Sun,0,0,0,0,0,0,0,12.0,10,38,0,3,52,0,0,0,0
Robbie Gould,36.260,2018-09-16,SFO,,DET,W 30-27,2,2,Sun,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,3,3
Carlos Hyde,27.361,2018-09-16,CLE,@,NOR,L 18-21,2,2,Sun,0,0,0,0,0,0,0,12.0,16,43,1,1,7,0,0,0,0
Jarvis Landry,25.292,2018-09-16,CLE,@,NOR,L 18-21,2,2,Sun,0,0,0,0,0,0,0,11.9,0,0,0,5,69,0,0,0,0
Eric Ebron,25.159,2018-09-16,IND,@,WAS,W 21-9,2,2,Sun,0,0,0,0,0,0,0,11.6,0,0,0,3,26,1,0,0,0
Kerryon Johnson,21.078,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,0,0,0,0,0,0,0,11.6,8,43,0,5,23,0,0,0,0
Julio Jones,29.225,2018-09-16,ATL,,CAR,W 31-24,2,2,Sun,0,0,0,0,0,0,0,11.4,0,0,0,5,64,0,0,0,0
Andrew Luck,29.004,2018-09-16,IND,@,WAS,W 21-9,2,2,Sun,21,31,67.74,179,2,2,1,11.4,4,2,0,0,0,0,0,0,0
Austin Seferian-Jenkins,25.352,2018-09-16,JAX,,NWE,W 31-20,2,2,Sun,0,0,0,0,0,0,0,11.3,0,0,0,3,23,1,0,0,0
LeSean McCoy,30.066,2018-09-16,BUF,,LAC,L 20-31,2,2,Sun,0,0,0,0,0,0,0,10.8,9,39,0,4,29,0,0,0,0
Mark Andrews,22.007,2018-09-13,BAL,@,CIN,L 23-34,2,2,Thu,0,0,0,0,0,0,0,10.7,0,0,0,3,17,1,0,0,0
Chris Ivory,30.178,2018-09-16,BUF,,LAC,L 20-31,2,2,Sun,0,0,0,0,0,0,0,10.7,2,7,1,1,30,0,0,0,0
Mike Williams,23.347,2018-09-16,LAC,@,BUF,W 31-20,2,2,Sun,0,0,0,0,0,0,0,10.7,0,0,0,2,27,1,0,0,0
Michael Crabtree,30.364,2018-09-13,BAL,@,CIN,L 23-34,2,2,Thu,0,0,0,0,0,0,0,10.6,0,0,0,5,56,0,0,0,0
Corey Davis,23.248,2018-09-16,TEN,,HOU,W 20-17,2,2,Sun,0,0,0,0,0,0,0,10.5,0,0,0,5,55,0,1,0,0
Willie Snead,25.331,2018-09-13,BAL,@,CIN,L 23-34,2,2,Thu,0,0,0,0,0,0,0,10.4,0,0,0,5,54,0,0,0,0
Paul Richardson,26.156,2018-09-16,WAS,,IND,L 9-21,2,2,Sun,0,0,0,0,0,0,0,10.3,0,0,0,4,63,0,0,0,0
Laquon Treadwell,23.094,2018-09-16,MIN,@,GNB,T 29-29,2,2,Sun,0,0,0,0,0,0,0,10.3,0,0,0,2,23,1,0,0,0
Garrett Celek,30.110,2018-09-16,SFO,,DET,W 30-27,2,2,Sun,0,0,0,0,0,0,0,10.2,0,0,0,2,22,1,0,0,0
Jamaal Williams,23.166,2018-09-16,GNB,,MIN,T 29-29,2,2,Sun,0,0,0,0,0,0,0,10.1,16,59,0,3,12,0,0,0,0
Randy Bullock,28.271,2018-09-13,CIN,,BAL,W 34-23,2,2,Thu,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,4,4
Alfred Morris,29.278,2018-09-16,SFO,,DET,W 30-27,2,2,Sun,0,0,0,0,0,0,0,10.0,14,48,0,2,32,0,0,0,0
Kelvin Benjamin,27.223,2018-09-16,BUF,,LAC,L 20-31,2,2,Sun,0,0,0,0,0,0,0,9.9,0,0,0,2,19,1,0,0,0
Jordan Howard,23.319,2018-09-17,CHI,,SEA,W 24-17,2,2,Mon,0,0,0,0,0,0,0,9.8,14,35,0,3,33,0,0,0,0
Jay Ajayi,25.093,2018-09-16,PHI,@,TAM,L 21-27,2,2,Sun,0,0,0,0,0,0,0,9.7,7,23,1,1,4,0,0,0,0
Pierre Garcon,32.039,2018-09-16,SFO,,DET,W 30-27,2,2,Sun,0,0,0,0,0,0,0,9.7,0,0,0,4,57,0,0,0,0
Rashard Higgins,23.344,2018-09-16,CLE,@,NOR,L 18-21,2,2,Sun,0,0,0,0,0,0,0,9.7,0,0,0,5,47,0,1,0,0
Joe Mixon,22.051,2018-09-13,CIN,,BAL,W 34-23,2,2,Thu,0,0,0,0,0,0,0,9.7,21,84,0,1,3,0,0,0,0
Joshua Perkins,25.042,2018-09-16,PHI,@,TAM,L 21-27,2,2,Sun,0,0,0,0,0,0,0,9.7,0,0,0,4,57,0,0,0,0
Jordan Reed,28.075,2018-09-16,WAS,,IND,L 9-21,2,2,Sun,0,0,0,0,0,0,0,9.5,0,0,0,6,55,0,1,0,0
Phillip Dorsett,25.254,2018-09-16,NWE,@,JAX,L 20-31,2,2,Sun,0,0,0,0,0,0,0,9.4,0,0,0,5,44,0,0,0,0
Odell Beckham,25.315,2018-09-16,NYG,@,DAL,L 13-20,2,2,Sun,0,0,0,0,0,0,0,9.1,0,0,0,4,51,0,0,0,0
Anthony Miller,23.343,2018-09-17,CHI,,SEA,W 24-17,2,2,Mon,0,0,0,0,0,0,0,9.1,0,0,0,2,11,1,0,0,0
T.J. Yeldon,24.349,2018-09-16,JAX,,NWE,W 31-20,2,2,Sun,0,0,0,0,0,0,0,9.1,10,58,0,2,13,0,0,0,0
Dustin Hopkins,27.350,2018-09-16,WAS,,IND,L 9-21,2,2,Sun,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0
Lamar Miller,27.144,2018-09-16,HOU,@,TEN,L 17-20,2,2,Sun,0,0,0,0,0,0,0,9.0,14,68,0,2,2,0,0,0,0
Matt Prater,34.037,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,3,3
Kamar Aiken,29.109,2018-09-16,PHI,@,TAM,L 21-27,2,2,Sun,0,0,0,0,0,0,0,8.9,0,0,0,5,39,0,0,0,0
Jared Cook,31.162,2018-09-16,OAK,@,DEN,L 19-20,2,2,Sun,0,0,0,0,0,0,0,8.9,0,0,0,4,49,0,0,0,0
A.J. Derby,26.361,2018-09-16,MIA,@,NYJ,W 20-12,2,2,Sun,0,0,0,0,0,0,0,8.9,0,0,0,1,19,1,0,0,0
Blaine Gabbert,28.336,2018-09-16,TEN,,HOU,W 20-17,2,2,Sun,13,20,65.00,117,1,0,1,8.9,2,2,0,0,0,0,0,0,0
Jake Butt,23.067,2018-09-16,DEN,,OAK,W 20-19,2,2,Sun,0,0,0,0,0,0,0,8.8,0,0,0,4,48,0,0,0,0
Royce Freeman,22.204,2018-09-16,DEN,,OAK,W 20-19,2,2,Sun,0,0,0,0,0,0,0,8.8,8,28,1,0,0,0,0,0,0
Taylor Gabriel,27.212,2018-09-17,CHI,,SEA,W 24-17,2,2,Mon,0,0,0,0,0,0,0,8.7,3,17,0,4,30,0,0,0,0
Virgil Green,30.044,2018-09-16,LAC,@,BUF,W 31-20,2,2,Sun,0,0,0,0,0,0,0,8.5,0,0,0,3,55,0,0,0,0
Michael Roberts,24.132,2018-09-16,DET,@,SFO,L 27-30,2,2,Sun,0,0,0,0,0,0,0,8.5,0,0,0,1,15,1,0,0,0
Brandon Marshall,34.178,2018-09-17,SEA,@,CHI,L 17-24,2,2,Mon,0,0,0,0,0,0,0,8.4,0,0,0,4,44,0,0,0,0
James Washington,22.167,2018-09-16,PIT,,KAN,L 37-42,2,2,Sun,0,0,0,0,0,0,0,8.4,0,0,0,1,14,1,0,0,0
Jordan Wilkins,24.060,2018-09-16,IND,@,WAS,W 21-9,2,2,Sun,0,0,0,0,0,0,0,8.4,10,61,0,2,3,0,0,0,0
Zay Jones,23.170,2018-09-16,BUF,,LAC,L 20-31,2,2,Sun,0,0,0,0,0,0,0,8.3,0,0,0,2,63,0,0,0,0
Giovani Bernard,26.295,2018-09-13,CIN,,BAL,W 34-23,2,2,Thu,0,0,0,0,0,0,0,8.2,6,27,0,4,15,0,0,0,0
Graham Gano,31.160,2018-09-16,CAR,@,ATL,L 24-31,2,2,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,3,3
Stephen Gostkowski,34.231,2018-09-16,NWE,@,JAX,L 20-31,2,2,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Steven Hauschka,33.079,2018-09-16,BUF,,LAC,L 20-31,2,2,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Brett Maher,28.299,2018-09-16,DAL,,NYG,W 20-13,2,2,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Brandon McManus,27.053,2018-09-16,DEN,,OAK,W 20-19,2,2,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Jason Myers,27.127,2018-09-16,NYJ,,MIA,L 12-20,2,2,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,1
Adrian Peterson,33.179,2018-09-16,WAS,,IND,L 9-21,2,2,Sun,0,0,0,0,0,0,0,8.0,11,20,0,3,30,0,0,0,0
Ryan Succop,31.362,2018-09-16,TEN,,HOU,W 20-17,2,2,Sun,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,2,2
Tyrell Williams,26.216,2018-09-16,LAC,@,BUF,W 31-20,2,2,Sun,0,0,0,0,0,0,0,7.8,0,0,0,3,48,0,1,0,0
Chris Conley,25.326,2018-09-16,KAN,@,PIT,W 42-37,2,2,Sun,0,0,0,0,0,0,0,7.7,0,0,0,2,17,1,1,0,0
Josh Doctson,25.287,2018-09-16,WAS,,IND,L 9-21,2,2,Sun,0,0,0,0,0,0,0,7.7,0,0,0,4,37,0,0,0,0
Bruce Ellington,27.025,2018-09-16,HOU,@,TEN,L 17-20,2,2,Sun,0,0,0,0,0,0,0,7.5,0,0,0,3,45,0,0,0,0
